LY,SP,LY_SP,SP_sample_number,SP_grid_number_LY_T_2020,SP_grid_point_LY_T_2020,SP_distance_LY_T_2020,SP_scheme_LY_T_2020,SP_sampling_0_LY_T_2020,SP_sampling_1_LY_T_2020,SP_edge_LY_T_2020,SP_cultivar
LY_T_2020,SP_001,LY_T_2020__SP_001,1,1,ext,diagonal,large,A_3,A_2,right,Elixir
LY_T_2020,SP_002,LY_T_2020__SP_002,2,2,ext,other,large,C_10,C_10,other,Elixir
LY_T_2020,SP_003,LY_T_2020__SP_003,3,3,ext,cross,large,D_30,D_15,center,Elixir
LY_T_2020,SP_004,LY_T_2020__SP_004,4,4,ext,other,large,D_30,E_18,other,Elixir
LY_T_2020,SP_005,LY_T_2020__SP_005,5,5,ext,diagonal,large,D_30,E_18,left,Elixir
LY_T_2020,SP_006,LY_T_2020__SP_006,6,6,ext,other,large,D_30,E_18,left,Elixir
LY_T_2020,SP_007,LY_T_2020__SP_007,7,7,middle,diagonal,large,D_30,E_18,other,Elixir
LY_T_2020,SP_008,LY_T_2020__SP_008,8,8,middle,other,medium,D_30,E_18,other,Elixir
LY_T_2020,SP_009,LY_T_2020__SP_009,9,9,middle,other,medium,D_30,E_18,other,Elixir
LY_T_2020,SP_010,LY_T_2020__SP_010,10,10,middle,other,medium,A_3,A_2,other,Elixir
LY_T_2020,SP_011,LY_T_2020__SP_011,11,11,middle,cross,large,A_3,B_5,center,Elixir
LY_T_2020,SP_012,LY_T_2020__SP_012,12,12,middle,diagonal,large,B_6,B_5,other,Elixir
LY_T_2020,SP_013,LY_T_2020__SP_013,13,13,ext,other,large,B_6,B_5,right,Elixir
LY_T_2020,SP_014,LY_T_2020__SP_014,14,14,ext,cross,large,B_6,B_5,right,Elixir
LY_T_2020,SP_015,LY_T_2020__SP_015,15,15,middle,cross,large,B_6,B_5,other,Elixir
LY_T_2020,SP_016,LY_T_2020__SP_016,16,16,middle,diagonal,medium,B_6,C_10,center,Elixir
LY_T_2020,SP_017,LY_T_2020__SP_017,17,18,middle,cross,small,B_6,C_10,other,Elixir
LY_T_2020,SP_018,LY_T_2020__SP_018,18,20,middle,other,small,C_10,C_10,other,Elixir
LY_T_2020,SP_019,LY_T_2020__SP_019,19,21,middle,other,medium,C_10,C_10,other,Elixir
LY_T_2020,SP_020,LY_T_2020__SP_020,20,22,middle,other,medium,C_10,C_10,other,Elixir
LY_T_2020,SP_021,LY_T_2020__SP_021,21,23,middle,cross,large,C_10,C_10,other,Elixir
LY_T_2020,SP_022,LY_T_2020__SP_022,22,24,middle,other,medium,C_10,C_10,other,Elixir
LY_T_2020,SP_023,LY_T_2020__SP_023,23,25,middle,other,medium,C_10,C_10,other,Elixir
LY_T_2020,SP_024,LY_T_2020__SP_024,24,26,middle,other,medium,C_10,C_10,other,Elixir
LY_T_2020,SP_025,LY_T_2020__SP_025,25,27,middle,other,medium,C_10,D_15,other,Elixir
LY_T_2020,SP_026,LY_T_2020__SP_026,26,28,middle,other,medium,C_10,D_15,other,Elixir
LY_T_2020,SP_027,LY_T_2020__SP_027,27,29,middle,other,medium,D_30,D_15,other,Elixir
LY_T_2020,SP_028,LY_T_2020__SP_028,28,30,middle,other,medium,D_30,D_15,center,Elixir
LY_T_2020,SP_029,LY_T_2020__SP_029,29,31,middle,other,medium,D_30,D_15,center,Elixir
LY_T_2020,SP_030,LY_T_2020__SP_030,30,32,middle,other,medium,D_30,D_15,other,Elixir
LY_T_2020,SP_031,LY_T_2020__SP_031,31,33,middle,other,medium,D_30,D_15,other,Elixir
LY_T_2020,SP_032,LY_T_2020__SP_032,32,34,middle,other,medium,D_30,D_15,other,Elixir
LY_T_2020,SP_033,LY_T_2020__SP_033,33,36,middle,other,medium,D_30,D_15,other,Elixir
LY_T_2020,SP_034,LY_T_2020__SP_034,34,37,middle,other,small,D_30,D_15,other,Elixir
LY_T_2020,SP_035,LY_T_2020__SP_035,35,39,middle,other,small,D_30,D_15,other,Elixir
LY_T_2020,SP_036,LY_T_2020__SP_036,36,41,middle,other,small,D_30,D_15,other,Elixir
LY_T_2020,SP_037,LY_T_2020__SP_037,37,47,middle,other,small,D_30,D_15,other,Elixir
LY_T_2020,SP_038,LY_T_2020__SP_038,38,49,middle,other,small,D_30,D_15,other,Elixir
LY_T_2020,SP_039,LY_T_2020__SP_039,39,51,middle,other,small,D_30,E_18,other,Elixir
LY_T_2020,SP_040,LY_T_2020__SP_040,40,57,ext,cross,large,D_30,E_18,left,Elixir
LY_T_2020,SP_041,LY_T_2020__SP_041,41,58,ext,other,large,D_30,E_18,left,Elixir
LY_T_2020,SP_042,LY_T_2020__SP_042,42,59,middle,diagonal,large,D_30,E_18,other,Elixir
LY_T_2020,SP_043,LY_T_2020__SP_043,43,60,middle,cross,large,D_30,E_18,center,Elixir
LY_T_2020,SP_044,LY_T_2020__SP_044,44,61,middle,diagonal,large,D_30,E_18,other,Elixir
LY_T_2020,SP_045,LY_T_2020__SP_045,45,62,ext,other,large,D_30,E_18,right,Elixir
LY_T_2020,SP_046,LY_T_2020__SP_046,46,63,ext,diagonal,large,D_30,E_18,right,Elixir
LY_T_2020,SP_047,LY_T_2020__SP_047,47,64,ext,other,large,D_30,E_18,other,Elixir
LY_T_2020,SP_048,LY_T_2020__SP_048,48,65,ext,cross,large,D_30,E_18,center,Elixir
LY_T_2020,SP_049,LY_T_2020__SP_049,49,66,ext,other,large,D_30,E_18,other,Elixir
LY_T_2020,SP_050,LY_T_2020__SP_050,50,67,ext,diagonal,large,D_30,E_18,left,Elixir
