LY,SP,LY_SP,SP_plot,SP_sample_number,SP_id_on_field_2022,SP_cultivar,SP_spray,SP_fertilizer,SP_lane,SP_parcel,SP_location
LY_A_2022,SP_001,LY_A_2022__SP_001,1,1,A16,Rembrandt,FALSE,,1,27,A
LY_A_2022,SP_002,LY_A_2022__SP_002,2,2,A7,Heerup,FALSE,,1,44,A
LY_A_2022,SP_003,LY_A_2022__SP_003,3,3,A5,Kvium,FALSE,,1,49,A
LY_A_2022,SP_004,LY_A_2022__SP_004,4,4,B16,Rembrandt,TRUE,,1,59,A
LY_A_2022,SP_005,LY_A_2022__SP_005,5,5,B5,Kvium,TRUE,,1,89,A
LY_A_2022,SP_006,LY_A_2022__SP_006,6,6,B7,Heerup,TRUE,,1,96,A
LY_A_2022,SP_007,LY_A_2022__SP_007,7,7,B7,Heerup,TRUE,,2,14,A
LY_A_2022,SP_008,LY_A_2022__SP_008,8,8,B16,Rembrandt,TRUE,,2,16,A
LY_A_2022,SP_009,LY_A_2022__SP_009,9,9,B5,Kvium,TRUE,,2,25,A
LY_A_2022,SP_010,LY_A_2022__SP_010,10,10,A16,Rembrandt,FALSE,,2,79,A
LY_A_2022,SP_011,LY_A_2022__SP_011,11,11,A5,Kvium,FALSE,,2,98,A
LY_A_2022,SP_012,LY_A_2022__SP_012,12,12,A7,Heerup,FALSE,,2,99,A
LY_A_2022,SP_013,LY_A_2022__SP_013,13,13,A7,Heerup,FALSE,,3,18,A
LY_A_2022,SP_014,LY_A_2022__SP_014,14,14,A16,Rembrandt,FALSE,,3,39,A
LY_A_2022,SP_015,LY_A_2022__SP_015,15,15,A5,Kvium,FALSE,,3,43,A
LY_A_2022,SP_016,LY_A_2022__SP_016,16,16,B16,Rembrandt,TRUE,,3,63,A
LY_A_2022,SP_017,LY_A_2022__SP_017,17,17,B5,Kvium,TRUE,,3,102,A
LY_A_2022,SP_018,LY_A_2022__SP_018,18,18,B7,Heerup,TRUE,,3,105,A
LY_A_2022,SP_019,LY_A_2022__SP_019,19,19,B16,Rembrandt,TRUE,,4,10,A
LY_A_2022,SP_020,LY_A_2022__SP_020,20,20,B7,Heerup,TRUE,,4,24,A
LY_A_2022,SP_021,LY_A_2022__SP_021,21,21,B5,Kvium,TRUE,,4,46,A
LY_A_2022,SP_022,LY_A_2022__SP_022,22,22,A5,Kvium,FALSE,,4,72,A
LY_A_2022,SP_023,LY_A_2022__SP_023,23,23,A16,Rembrandt,FALSE,,4,77,A
LY_A_2022,SP_024,LY_A_2022__SP_024,24,24,A7,Heerup,FALSE,,4,99,A
LY_H_2022,SP_001,LY_H_2022__SP_001,1,1,A5,Kvium,FALSE,,1,14,H
LY_H_2022,SP_002,LY_H_2022__SP_002,2,2,A16,Rembrandt,FALSE,,1,16,H
LY_H_2022,SP_003,LY_H_2022__SP_003,3,3,A7,Heerup,FALSE,,1,59,H
LY_H_2022,SP_004,LY_H_2022__SP_004,4,4,B5,Kvium,TRUE,,2,28,H
LY_H_2022,SP_005,LY_H_2022__SP_005,5,5,B16,Rembrandt,TRUE,,2,44,H
LY_H_2022,SP_006,LY_H_2022__SP_006,6,6,B7,Heerup,TRUE,,2,49,H
LY_H_2022,SP_007,LY_H_2022__SP_007,7,7,A16,Rembrandt,FALSE,,3,10,H
LY_H_2022,SP_008,LY_H_2022__SP_008,8,8,A5,Kvium,FALSE,,3,19,H
LY_H_2022,SP_009,LY_H_2022__SP_009,9,9,A7,Heerup,FALSE,,3,54,H
LY_H_2022,SP_010,LY_H_2022__SP_010,10,10,B7,Heerup,TRUE,,4,16,H
LY_H_2022,SP_011,LY_H_2022__SP_011,11,11,B16,Rembrandt,TRUE,,4,18,H
LY_H_2022,SP_012,LY_H_2022__SP_012,12,12,B5,Kvium,TRUE,,4,51,H
LY_H_2022,SP_013,LY_H_2022__SP_013,13,13,A5,Kvium,FALSE,,5,31,H
LY_H_2022,SP_014,LY_H_2022__SP_014,14,14,A16,Rembrandt,FALSE,,5,36,H
LY_H_2022,SP_015,LY_H_2022__SP_015,15,15,A7,Heerup,FALSE,,5,40,H
