BS_id,LS_id,LY_id,SP_id,BS_original_sample_id,BS_sample_date,BS_sample_type,BS_sample_number,BS_leaf_protocol,BS_note,BS_row_count
BS_040722_W_0,LS_LY_R_2022_SP_002,LY_R_2022,SP_002,R-040722-w-G2 | R-040722-w-G5 | R-040722-w-G8 | R-040722-w-G1 | R-040722-w-G7 | R-040722-w-G6 | R-040722-w-G9 | R-040722-w-G10 | R-040722-w-G4 | R-040722-w-G3 | R-040722-w-G15 | R-040722-w-G12 | ... (24 values),040722,,,WASHED,from_P2_10B | from_P2_10A,48
BS_070622_W_0,LS_LY_R_2022_SP_022,LY_R_2022,SP_022,R-070622-w-A22 | R-070622-w-A21 | R-070622-w-A4 | R-070622-w-A1 | R-070622-w-A23 | R-070622-w-A3 | R-070622-w-A2 | R-070622-w-A7 | R-070622-w-A19 | R-070622-w-A20 | R-070622-w-A10 | R-070622-w-A9 | ... (24 values),070622,,,WASHED,DNA_input_below_100pg,48
BS_070722_W_0,LS_LY_R_2022_SP_002,LY_R_2022,SP_002,R-070722-w-H2 | R-070722-w-H8 | R-070722-w-H7 | R-070722-w-H1 | R-070722-w-H11 | R-070722-w-H9 | R-070722-w-H6 | R-070722-w-H10 | R-070722-w-H5 | R-070722-w-H4 | R-070722-w-H3 | R-070722-w-H15 | ... (24 values),070722,,,WASHED,DNA_input_below_100pg,48
BS_100622_W_0,LS_LY_R_2022_SP_022,LY_R_2022,SP_022,R-100622-w-B22 | R-100622-w-B21 | R-100622-w-B4 | R-100622-w-B1 | R-100622-w-B24 | R-100622-w-B3 | R-100622-w-B2 | R-100622-w-B23 | R-100622-w-B7 | R-100622-w-B20 | R-100622-w-B19 | R-100622-w-B10 | ... (24 values),100622,,,WASHED,DNA_input_below_100pg,48
BS_140622_W_0,LS_LY_R_2022_SP_024,LY_R_2022,SP_024,R-140622-w-C24 | R-140622-w-C1 | R-140622-w-C4 | R-140622-w-C21 | R-140622-w-C23 | R-140622-w-C3 | R-140622-w-C2 | R-140622-w-C22 | R-140622-w-C7 | R-140622-w-C20 | R-140622-w-C19 | R-140622-w-C10 | ... (24 values),140622,,,WASHED,DNA_input_below_100pg,48
BS_140722_W_0,LS_LY_R_2022_SP_002,LY_R_2022,SP_002,R-140722-w-I2 | R-140722-w-I4 | R-140722-w-I23 | R-140722-w-I1 | R-140722-w-I3 | R-140722-w-I24 | R-140722-w-I22 | R-140722-w-I19 | R-140722-w-I8 | R-140722-w-I7 | R-140722-w-I20 | R-140722-w-I14 | ... (24 values),140722,,,WASHED,,48
BS_170622_W_0,LS_LY_R_2022_SP_022,LY_R_2022,SP_022,R-170622-w-D22 | R-170622-w-D24 | R-170622-w-D21 | R-170622-w-D23 | R-170622-w-D1 | R-170622-w-D4 | R-170622-w-D2 | R-170622-w-D3 | R-170622-w-D7 | R-170622-w-D20 | R-170622-w-D19 | R-170622-w-D8 | ... (24 values),170622,,,WASHED,,48
BS_200603_W_1,LS_LY_T_2020_SP_024,LY_T_2020,SP_024,T-030620-w-24 | T-030620-w-23 | T-030620-w-22 | T-030620-w-21 | T-030620-w-20 | T-030620-w-19 | T-030620-w-18 | T-030620-w-17 | T-030620-w-16 | T-030620-w-15 | T-030620-w-14 | T-030620-w-13 | ... (50 values),2020-06-03 00:00:00,deep,24.0 | 23.0 | 22.0 | 21.0 | 20.0 | 19.0 | 18.0 | 17.0 | 16.0 | 15.0 | 14.0 | 13.0 | ... (50 values),WASHED,Alex_destroyed | Alex_rust | Alex_broken | Alex_big,100
BS_200622_W_1,LS_LY_H_2022_SP_017,LY_H_2022,SP_017,H-200622-w-17-1 | H-200622-w-18-1 | H-200622-w-16-1 | H-200622-w-15-1 | H-200623-w-22-1 | H-200622-w-21-1 | H-200622-w-22-1 | H-200622-w-19-1 | H-200622-w-20-1 | H-200622-w-11-1 | H-200622-w-10-1 | H-200622-w-6-1 | ... (24 values),200622,,,WASHED,DNA_input_below_100pg | hole_in_catch_tube_1st time_re_ext | from_P6_4E,59
BS_200622_W_2,LS_LY_H_2022_SP_023,LY_H_2022,SP_023,H-200622-w-23-2 | H-200622-w-17-2 | H-200622-w-14-2 | H-200622-w-15-2 | H-200622-w-16-2 | H-200622-w-18-2 | H-200622-w-21-2 | H-200622-w-22-2 | H-200622-w-20-2 | H-200622-w-19-2 | H-200622-w-10-2 | H-200622-w-6-2 | ... (24 values),200622,,,WASHED,DNA_input_below_100pg,60
BS_200622_W_3,LS_LY_H_2022_SP_023,LY_H_2022,SP_023,H-200622-w-23-3 | H-200622-w-17-3 | H-200622-w-16-3 | H-200622-w-14-3 | H-200622-w-15-3 | H-200622-w-21-3 | H-200622-w-22-3 | H-200622-w-18-3 | H-200622-w-19-3 | H-200622-w-20-3 | H-200622-w-10-3 | H-200622-w-6-3 | ... (24 values),200622,,,WASHED,DNA_input_below_100pg,59
BS_200622_W_4,LS_LY_H_2022_SP_023,LY_H_2022,SP_023,H-200622-w-23-4 | H-200622-w-17-4 | H-200622-w-16-4 | H-200622-w-14-4 | H-200622-w-15-4 | H-200622-w-18-4 | H-200622-w-21-4 | H-200622-w-22-4 | H-200622-w-20-4 | H-200622-w-19-4 | H-200622-w-9-4 | H-200622-w-10-4 | ... (24 values),200622,,,WASHED,DNA_input_below_100pg,57
BS_200622_W_5,LS_LY_H_2022_SP_023,LY_H_2022,SP_023,H-200622-w-23-5 | H-200622-w-16-5 | H-200622-w-17-5 | H-200622-w-14-5 | H-200622-w-15-5 | H-200622-w-21-5 | H-200622-w-20-5 | H-200622-w-18-5 | H-200622-w-19-5 | H-200622-w-22-5 | H-200622-w-10-5 | H-200622-w-9-5 | ... (24 values),200622,,,WASHED,DNA_input_below_100pg,60
BS_200622_W_6,LS_LY_H_2022_SP_023,LY_H_2022,SP_023,H-200622-w-23-6 | H-200622-w-16-6 | H-200622-w-17-6 | H-200622-w-14-6 | H-200622-w-15-6 | H-200622-w-20-6 | H-200622-w-21-6 | H-200622-w-22-6 | H-200622-w-18-6 | H-200622-w-19-6 | H-200622-w-2-6 | H-200622-w-10-6 | ... (24 values),200622,,,WASHED,DNA_input_below_100pg,61
BS_200622_W_7,LS_LY_H_2022_SP_023,LY_H_2022,SP_023,H-200622-w-23-7 | H-200622-w-22-7 | H-200622-w-16-7 | H-200622-w-17-7 | H-200622-w-14-7 | H-200622-w-15-7 | H-200622-w-20-7 | H-200622-w-21-7 | H-200622-w-18-7 | H-200622-w-19-7 | H-200622-w-10-7 | H-200622-w-9-7 | ... (24 values),200622,,,WASHED,DNA_input_below_100pg,61
BS_210615_C_1,LS_LY_T_2021_SP_118,LY_T_2021,SP_118,T-150621-c-118 | T-150621-c-144 | T-150621-c-143 | T-150621-c-142 | T-150621-c-141 | T-150621-c-140 | T-150621-c-138 | T-150621-c-137 | T-150621-c-136 | T-150621-c-135 | T-150621-c-134 | T-150621-c-133 | ... (144 values),2021-06-15 00:00:00,deep,118.0 | 144.0 | 143.0 | 142.0 | 141.0 | 140.0 | 138.0 | 137.0 | 136.0 | 135.0 | 134.0 | 133.0 | ... (144 values),CRUSHED,reads_in_seq230714_FWU63_based_on_spiked_DNA_do_not_use_these_use_those_from seq231107_RISO1 | use_these_reads_from seq231107_RISO1_not_reads_in_seq230714_FWU63,338
BS_210622_W_0,LS_LY_R_2022_SP_002,LY_R_2022,SP_002,R-210622-w-E2 | R-210622-w-E7 | R-210622-w-E1 | R-210622-w-E8 | R-210622-w-E6 | R-210622-w-E10 | R-210622-w-E9 | R-210622-w-E4 | R-210622-w-E3 | R-210622-w-E20 | R-210622-w-E14 | R-210622-w-E15 | ... (24 values),210622,,,WASHED,DNA_input_below_100pg | missing_no_input_DNA_not_seq,47
BS_210622_W_1,LS_LY_R_2022_SP_014,LY_R_2022,SP_014,R-210622-w-14-1 | R-210622-w-1-1 | R-210622-w-2-1 | R-210622-w-4-1 | R-210622-w-5-1 | R-210622-w-6-1 | R-210622-w-3-1 | R-210622-w-13-1 | R-210622-w-11-1 | R-210622-w-7-1 | R-210622-w-10-1 | R-210622-w-9-1 | ... (24 values),210622,,,WASHED,,48
BS_210622_W_2,LS_LY_R_2022_SP_007,LY_R_2022,SP_007,R-210622-w-7-2 | R-210622-w-1-2 | R-210622-w-2-2 | R-210622-w-4-2 | R-210622-w-5-2 | R-210622-w-6-2 | R-210622-w-3-2 | R-210622-w-13-2 | R-210622-w-11-2 | R-210622-w-10-2 | R-210622-w-9-2 | R-210622-w-8-2 | ... (24 values),210622,,,WASHED,DNA_input_below_100pg,48
BS_210622_W_3,LS_LY_R_2022_SP_007,LY_R_2022,SP_007,R-210622-w-7-3 | R-210622-w-2-3 | R-210622-w-8-3 | R-210622-w-5-3 | R-210622-w-1-3 | R-210622-w-4-3 | R-210622-w-6-3 | R-210622-w-3-3 | R-210622-w-13-3 | R-210622-w-11-3 | R-210622-w-10-3 | R-210622-w-9-3 | ... (24 values),210622,,,WASHED,DNA_input_below_100pg,48
BS_210622_W_4,LS_LY_R_2022_SP_002,LY_R_2022,SP_002,R-210622-w-2-4 | R-210622-w-8-4 | R-210622-w-7-4 | R-210622-w-1-4 | R-210622-w-9-4 | R-210622-w-6-4 | R-210622-w-4-4 | R-210622-w-3-4 | R-210622-w-13-4 | R-210622-w-12-4 | R-210622-w-5-4 | R-210622-w-11-4 | ... (24 values),210622,,,WASHED,DNA_input_below_100pg,48
