RC_id,SR_id,RC_path,RC_filename,RC_read_direction,RC_reads
RC_seq230707_DWDQH_H_200622_16S_c_15_3_S105_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-15-3_S105_L001_R2_001.fastq.gz,H-200622-16S-c-15-3_S105_L001_R2_001.fastq.gz,R2,19381
RC_seq230707_DWDQH_H_200622_16S_c_17_2_S116_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-17-2_S116_L001_R1_001.fastq.gz,H-200622-16S-c-17-2_S116_L001_R1_001.fastq.gz,R1,22360
RC_seq230707_DWDQH_H_200622_16S_c_17_5_S119_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-17-5_S119_L001_R1_001.fastq.gz,H-200622-16S-c-17-5_S119_L001_R1_001.fastq.gz,R1,21283
RC_seq230707_DWDQH_H_200622_16S_c_22_5_S154_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-22-5_S154_L001_R1_001.fastq.gz,H-200622-16S-c-22-5_S154_L001_R1_001.fastq.gz,R1,21011
RC_seq230707_DWDQH_H_200622_16S_c_18_3_S124_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-18-3_S124_L001_R1_001.fastq.gz,H-200622-16S-c-18-3_S124_L001_R1_001.fastq.gz,R1,24922
RC_seq230707_DWDQH_R_160622_16S_c_9_S9_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-160622-16S-c-9_S9_L001_R1_001.fastq.gz,R-160622-16S-c-9_S9_L001_R1_001.fastq.gz,R1,22241
RC_seq230707_DWDQH_H_200622_16S_c_22_3_S152_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-22-3_S152_L001_R2_001.fastq.gz,H-200622-16S-c-22-3_S152_L001_R2_001.fastq.gz,R2,26369
RC_seq230707_DWDQH_H_200622_16S_c_24_5_S167_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/H-200622-16S-c-24-5_S167_L001_R2_001.fastq.gz,H-200622-16S-c-24-5_S167_L001_R2_001.fastq.gz,R2,24880
RC_seq230707_DWDQH_A_230622_16S_c_59_1_S124_L001_R2_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/A-230622-16S-c-59-1_S124_L001_R2_001.fastq.gz,A-230622-16S-c-59-1_S124_L001_R2_001.fastq.gz,R2,35772
RC_seq230707_DWDQH_R_160622_16S_c_7_S7_L001_R1_001_fastq_gz,seq230707_DWDQH,./seq230707_DWDQH/R-160622-16S-c-7_S7_L001_R1_001.fastq.gz,R-160622-16S-c-7_S7_L001_R1_001.fastq.gz,R1,33040
