SR_id,SR_run_name,SR_relative_path,SR_full_path,SR_order,SR_in_path_table
seq230315_PF2CP,seq230315_PF2CP,./seq230315_PF2CP,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP,1,True
seq230526_JRV78,seq230526_JRV78,./seq230526_JRV78,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230526_JRV78,15,True
seq230526_LQJXR,seq230526_LQJXR,./seq230526_LQJXR,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230526_LQJXR,17,True
seq230707_DWDQH,seq230707_DWDQH,./seq230707_DWDQH,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH,0,True
seq230710_GW4I8,seq230710_GW4I8,./seq230710_GW4I8,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230710_GW4I8,11,True
seq230714_FWU63,seq230714_FWU63,./seq230714_FWU63,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230714_FWU63,6,True
seq231107_RISO1,seq231107_RISO1,./seq231107_RISO1,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq231107_RISO1,14,True
seq231206_RISO2,seq231206_RISO2,./seq231206_RISO2,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq231206_RISO2,5,True
seq240209_KSVAZ,seq240209_KSVAZ,./seq240209_KSVAZ,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240209_KSVAZ,16,True
seq240222_RQS8X,seq240222_RQS8X,./seq240222_RQS8X,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240222_RQS8X,2,True
seq240412_BRLUV,seq240412_BRLUV,./seq240412_BRLUV,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240412_BRLUV,3,True
seq240424_T6U6R,seq240424_T6U6R,./seq240424_T6U6R,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240424_T6U6R,4,True
seq240508_LNERQ,seq240508_LNERQ,./seq240508_LNERQ,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240508_LNERQ,10,True
seq240515_E8KTD,seq240515_E8KTD,./seq240515_E8KTD,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240515_E8KTD,21,True
seq240710_DR8PG,seq240710_DR8PG,./seq240710_DR8PG,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240710_DR8PG,20,True
seq240719_NR8NI,seq240719_NR8NI,./seq240719_NR8NI,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240719_NR8NI,18,True
seq240820_C6WGP,seq240820_C6WGP,./seq240820_C6WGP,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240820_C6WGP,22,True
seq240826_X6DU5,seq240826_X6DU5,./seq240826_X6DU5,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240826_X6DU5,13,True
seq260520_BRLUV,seq260520_BRLUV,./seq260520_BRLUV,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq260520_BRLUV,24,True
seq260612_DR8PG,seq260612_DR8PG,./seq260612_DR8PG,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq260612_DR8PG,25,True
