run_ID,seq_sample_ID,forward_fq,reverse_fq
seq260612_DR8PG,A-230622-ITS-c-61-1,DR8PG2-A-230622-ITS-c-61-1_S297_L001_R1_001.fastq.gz,DR8PG2-A-230622-ITS-c-61-1_S297_L001_R2_001.fastq.gz
seq260612_DR8PG,A-230622-ITS-c-61-2,DR8PG2-A-230622-ITS-c-61-2_S298_L001_R1_001.fastq.gz,DR8PG2-A-230622-ITS-c-61-2_S298_L001_R2_001.fastq.gz
seq260612_DR8PG,A-230622-ITS-c-61-3,DR8PG2-A-230622-ITS-c-61-3_S299_L001_R1_001.fastq.gz,DR8PG2-A-230622-ITS-c-61-3_S299_L001_R2_001.fastq.gz
seq260612_DR8PG,A-230622-ITS-c-62-1,DR8PG2-A-230622-ITS-c-62-1_S300_L001_R1_001.fastq.gz,DR8PG2-A-230622-ITS-c-62-1_S300_L001_R2_001.fastq.gz
seq260612_DR8PG,A-230622-ITS-c-62-2,DR8PG2-A-230622-ITS-c-62-2_S301_L001_R1_001.fastq.gz,DR8PG2-A-230622-ITS-c-62-2_S301_L001_R2_001.fastq.gz
seq260612_DR8PG,A-230622-ITS-c-62-3,DR8PG2-A-230622-ITS-c-62-3_S302_L001_R1_001.fastq.gz,DR8PG2-A-230622-ITS-c-62-3_S302_L001_R2_001.fastq.gz
seq260612_DR8PG,A-230622-ITS-c-62-4,DR8PG2-A-230622-ITS-c-62-4_S303_L001_R1_001.fastq.gz,DR8PG2-A-230622-ITS-c-62-4_S303_L001_R2_001.fastq.gz
seq260612_DR8PG,A-230622-ITS-c-63-2,DR8PG2-A-230622-ITS-c-63-2_S304_L001_R1_001.fastq.gz,DR8PG2-A-230622-ITS-c-63-2_S304_L001_R2_001.fastq.gz
seq260612_DR8PG,A-230622-ITS-c-63-3,DR8PG2-A-230622-ITS-c-63-3_S305_L001_R1_001.fastq.gz,DR8PG2-A-230622-ITS-c-63-3_S305_L001_R2_001.fastq.gz
seq260612_DR8PG,A-230622-ITS-c-63-4,DR8PG2-A-230622-ITS-c-63-4_S306_L001_R1_001.fastq.gz,DR8PG2-A-230622-ITS-c-63-4_S306_L001_R2_001.fastq.gz
seq260612_DR8PG,A-230622-ITS-c-63-5,DR8PG2-A-230622-ITS-c-63-5_S307_L001_R1_001.fastq.gz,DR8PG2-A-230622-ITS-c-63-5_S307_L001_R2_001.fastq.gz
seq260612_DR8PG,A-230622-ITS-c-66,DR8PG2-A-230622-ITS-c-66_S308_L001_R1_001.fastq.gz,DR8PG2-A-230622-ITS-c-66_S308_L001_R2_001.fastq.gz
seq260612_DR8PG,A-230622-ITS-c-67,DR8PG2-A-230622-ITS-c-67_S309_L001_R1_001.fastq.gz,DR8PG2-A-230622-ITS-c-67_S309_L001_R2_001.fastq.gz
seq260612_DR8PG,A-230622-ITS-c-68,DR8PG2-A-230622-ITS-c-68_S310_L001_R1_001.fastq.gz,DR8PG2-A-230622-ITS-c-68_S310_L001_R2_001.fastq.gz
seq260612_DR8PG,A-230622-ITS-c-69,DR8PG2-A-230622-ITS-c-69_S311_L001_R1_001.fastq.gz,DR8PG2-A-230622-ITS-c-69_S311_L001_R2_001.fastq.gz
