LY,SP,LY_SP,SP_sample_number,SP_block,SP_plot,SP_subplot,SP_spray_fungicide,SP_fertilizer,SP_cultivar,SP_density
LY_T_2021,SP_001,LY_T_2021__SP_001,1,1,1,1,FALSE,HALF,Heerup,450
LY_T_2021,SP_002,LY_T_2021__SP_002,2,1,2,1,FALSE,HALF,Heerup,300
LY_T_2021,SP_003,LY_T_2021__SP_003,3,1,3,1,FALSE,HALF,Kvium,450
LY_T_2021,SP_004,LY_T_2021__SP_004,4,1,4,1,FALSE,HALF,Sheriff,300
LY_T_2021,SP_005,LY_T_2021__SP_005,5,1,5,1,FALSE,HALF,Rembrandt,150
LY_T_2021,SP_006,LY_T_2021__SP_006,6,1,6,1,FALSE,HALF,Rembrandt,450
LY_T_2021,SP_007,LY_T_2021__SP_007,7,1,7,1,FALSE,HALF,Heerup,150
LY_T_2021,SP_008,LY_T_2021__SP_008,8,1,8,1,FALSE,HALF,Sheriff,450
LY_T_2021,SP_009,LY_T_2021__SP_009,9,1,9,1,FALSE,HALF,Kvium,300
LY_T_2021,SP_010,LY_T_2021__SP_010,10,1,10,1,FALSE,HALF,Sheriff,150
LY_T_2021,SP_011,LY_T_2021__SP_011,11,1,11,1,FALSE,HALF,Rembrandt,300
LY_T_2021,SP_012,LY_T_2021__SP_012,12,1,12,1,FALSE,HALF,Kvium,150
LY_T_2021,SP_013,LY_T_2021__SP_013,13,1,13,2,FALSE,NORMAL,Kvium,150
LY_T_2021,SP_014,LY_T_2021__SP_014,14,1,14,2,FALSE,NORMAL,Sheriff,150
LY_T_2021,SP_015,LY_T_2021__SP_015,15,1,15,2,FALSE,NORMAL,Sheriff,450
LY_T_2021,SP_016,LY_T_2021__SP_016,16,1,16,2,FALSE,NORMAL,Heerup,450
LY_T_2021,SP_017,LY_T_2021__SP_017,17,1,17,2,FALSE,NORMAL,Rembrandt,300
LY_T_2021,SP_018,LY_T_2021__SP_018,18,1,18,2,FALSE,NORMAL,Heerup,300
LY_T_2021,SP_019,LY_T_2021__SP_019,19,1,19,2,FALSE,NORMAL,Kvium,300
LY_T_2021,SP_020,LY_T_2021__SP_020,20,1,20,2,FALSE,NORMAL,Sheriff,300
LY_T_2021,SP_021,LY_T_2021__SP_021,21,1,21,2,FALSE,NORMAL,Heerup,150
LY_T_2021,SP_022,LY_T_2021__SP_022,22,1,22,2,FALSE,NORMAL,Rembrandt,450
LY_T_2021,SP_023,LY_T_2021__SP_023,23,1,23,2,FALSE,NORMAL,Kvium,450
LY_T_2021,SP_024,LY_T_2021__SP_024,24,1,24,2,FALSE,NORMAL,Rembrandt,150
LY_T_2021,SP_025,LY_T_2021__SP_025,25,1,25,3,FALSE,HALF,Kvium,450
LY_T_2021,SP_026,LY_T_2021__SP_026,26,1,26,3,FALSE,HALF,Rembrandt,300
LY_T_2021,SP_027,LY_T_2021__SP_027,27,1,27,3,FALSE,HALF,Kvium,300
LY_T_2021,SP_028,LY_T_2021__SP_028,28,1,28,3,FALSE,HALF,Kvium,150
LY_T_2021,SP_029,LY_T_2021__SP_029,29,1,29,3,FALSE,HALF,Sheriff,450
LY_T_2021,SP_030,LY_T_2021__SP_030,30,1,30,3,FALSE,HALF,Heerup,150
LY_T_2021,SP_031,LY_T_2021__SP_031,31,1,31,3,FALSE,HALF,Sheriff,300
LY_T_2021,SP_032,LY_T_2021__SP_032,32,1,32,3,FALSE,HALF,Rembrandt,450
LY_T_2021,SP_033,LY_T_2021__SP_033,33,1,33,3,FALSE,HALF,Sheriff,150
LY_T_2021,SP_034,LY_T_2021__SP_034,34,1,34,3,FALSE,HALF,Rembrandt,150
LY_T_2021,SP_035,LY_T_2021__SP_035,35,1,35,3,FALSE,HALF,Heerup,450
LY_T_2021,SP_036,LY_T_2021__SP_036,36,1,36,3,FALSE,HALF,Heerup,300
LY_T_2021,SP_037,LY_T_2021__SP_037,37,2,37,4,FALSE,HALF,Sheriff,300
LY_T_2021,SP_038,LY_T_2021__SP_038,38,2,38,4,FALSE,HALF,Rembrandt,300
LY_T_2021,SP_039,LY_T_2021__SP_039,39,2,39,4,FALSE,HALF,Heerup,300
LY_T_2021,SP_040,LY_T_2021__SP_040,40,2,40,4,FALSE,HALF,Heerup,450
LY_T_2021,SP_041,LY_T_2021__SP_041,41,2,41,4,FALSE,HALF,Kvium,450
LY_T_2021,SP_042,LY_T_2021__SP_042,42,2,42,4,FALSE,HALF,Rembrandt,450
LY_T_2021,SP_043,LY_T_2021__SP_043,43,2,43,4,FALSE,HALF,Sheriff,450
LY_T_2021,SP_044,LY_T_2021__SP_044,44,2,44,4,FALSE,HALF,Kvium,300
LY_T_2021,SP_045,LY_T_2021__SP_045,45,2,45,4,FALSE,HALF,Rembrandt,150
LY_T_2021,SP_046,LY_T_2021__SP_046,46,2,46,4,FALSE,HALF,Heerup,150
LY_T_2021,SP_047,LY_T_2021__SP_047,47,2,47,4,FALSE,HALF,Kvium,150
LY_T_2021,SP_048,LY_T_2021__SP_048,48,2,48,4,FALSE,HALF,Sheriff,150
LY_T_2021,SP_049,LY_T_2021__SP_049,49,2,49,5,FALSE,NORMAL,Rembrandt,300
LY_T_2021,SP_050,LY_T_2021__SP_050,50,2,50,5,FALSE,NORMAL,Kvium,150
LY_T_2021,SP_051,LY_T_2021__SP_051,51,2,51,5,FALSE,NORMAL,Sheriff,300
LY_T_2021,SP_052,LY_T_2021__SP_052,52,2,52,5,FALSE,NORMAL,Rembrandt,450
LY_T_2021,SP_053,LY_T_2021__SP_053,53,2,53,5,FALSE,NORMAL,Heerup,450
LY_T_2021,SP_054,LY_T_2021__SP_054,54,2,54,5,FALSE,NORMAL,Heerup,300
LY_T_2021,SP_055,LY_T_2021__SP_055,55,2,55,5,FALSE,NORMAL,Rembrandt,150
LY_T_2021,SP_056,LY_T_2021__SP_056,56,2,56,5,FALSE,NORMAL,Heerup,150
LY_T_2021,SP_057,LY_T_2021__SP_057,57,2,57,5,FALSE,NORMAL,Sheriff,150
LY_T_2021,SP_058,LY_T_2021__SP_058,58,2,58,5,FALSE,NORMAL,Kvium,300
LY_T_2021,SP_059,LY_T_2021__SP_059,59,2,59,5,FALSE,NORMAL,Sheriff,450
LY_T_2021,SP_060,LY_T_2021__SP_060,60,2,60,5,FALSE,NORMAL,Kvium,450
LY_T_2021,SP_061,LY_T_2021__SP_061,61,2,61,6,FALSE,HALF,Sheriff,450
LY_T_2021,SP_062,LY_T_2021__SP_062,62,2,62,6,FALSE,HALF,Sheriff,300
LY_T_2021,SP_063,LY_T_2021__SP_063,63,2,63,6,FALSE,HALF,Kvium,450
LY_T_2021,SP_064,LY_T_2021__SP_064,64,2,64,6,FALSE,HALF,Heerup,450
LY_T_2021,SP_065,LY_T_2021__SP_065,65,2,65,6,FALSE,HALF,Heerup,150
LY_T_2021,SP_066,LY_T_2021__SP_066,66,2,66,6,FALSE,HALF,Rembrandt,150
LY_T_2021,SP_067,LY_T_2021__SP_067,67,2,67,6,FALSE,HALF,Kvium,150
LY_T_2021,SP_068,LY_T_2021__SP_068,68,2,68,6,FALSE,HALF,Rembrandt,450
LY_T_2021,SP_069,LY_T_2021__SP_069,69,2,69,6,FALSE,HALF,Rembrandt,300
LY_T_2021,SP_070,LY_T_2021__SP_070,70,2,70,6,FALSE,HALF,Heerup,300
LY_T_2021,SP_071,LY_T_2021__SP_071,71,2,71,6,FALSE,HALF,Sheriff,150
LY_T_2021,SP_072,LY_T_2021__SP_072,72,2,72,6,FALSE,HALF,Kvium,300
LY_T_2021,SP_073,LY_T_2021__SP_073,73,3,73,7,FALSE,HALF,Rembrandt,300
LY_T_2021,SP_074,LY_T_2021__SP_074,74,3,74,7,FALSE,HALF,Rembrandt,450
LY_T_2021,SP_075,LY_T_2021__SP_075,75,3,75,7,FALSE,HALF,Heerup,150
LY_T_2021,SP_076,LY_T_2021__SP_076,76,3,76,7,FALSE,HALF,Rembrandt,150
LY_T_2021,SP_077,LY_T_2021__SP_077,77,3,77,7,FALSE,HALF,Sheriff,150
LY_T_2021,SP_078,LY_T_2021__SP_078,78,3,78,7,FALSE,HALF,Heerup,450
LY_T_2021,SP_079,LY_T_2021__SP_079,79,3,79,7,FALSE,HALF,Kvium,150
LY_T_2021,SP_080,LY_T_2021__SP_080,80,3,80,7,FALSE,HALF,Kvium,450
LY_T_2021,SP_081,LY_T_2021__SP_081,81,3,81,7,FALSE,HALF,Heerup,300
LY_T_2021,SP_082,LY_T_2021__SP_082,82,3,82,7,FALSE,HALF,Sheriff,300
