EX_id,BS_id,EX_date,EX_plate,EX_dna_conc,EX_row_count
EX_LY_A_2022_SP_001_BS_220623_C_1_EX_221012,BS_220623_C_1,2022-10-12,3.0,,2
EX_LY_A_2022_SP_001_BS_220623_C_2_EX_221012,BS_220623_C_2,2022-10-12,3.0,,2
EX_LY_A_2022_SP_001_BS_220623_C_3_EX_221012,BS_220623_C_3,2022-10-12,3.0,,2
EX_LY_A_2022_SP_001_BS_220623_C_4_EX_221012,BS_220623_C_4,2022-10-12,3.0,,2
EX_LY_A_2022_SP_001_BS_220623_C_5_EX_221006,BS_220623_C_5,2022-10-06,3.0,,1
EX_LY_A_2022_SP_001_BS_220623_C_5_EX_221012,BS_220623_C_5,2022-10-12,3.0,,1
EX_LY_A_2022_SP_001_BS_220623_C_6_EX_221006,BS_220623_C_6,2022-10-06,3.0,,1
EX_LY_A_2022_SP_001_BS_220623_C_6_EX_221012,BS_220623_C_6,2022-10-12,3.0,,1
EX_LY_A_2022_SP_001_BS_220623_C_7_EX_221006,BS_220623_C_7,2022-10-06,1.0,,1
EX_LY_A_2022_SP_001_BS_220623_C_7_EX_221011,BS_220623_C_7,2022-10-11,1.0,,1
EX_LY_A_2022_SP_001_BS_230622_W_1_EX_230724,BS_230622_W_1,2023-07-24,8.0,0.037,3
EX_LY_A_2022_SP_001_BS_230622_W_2_EX_230724,BS_230622_W_2,2023-07-24,8.0,0.036,3
EX_LY_A_2022_SP_001_BS_230622_W_3_EX_230725,BS_230622_W_3,2023-07-25,8.0,0.025,3
EX_LY_A_2022_SP_001_BS_230622_W_4_EX_230725,BS_230622_W_4,2023-07-25,8.0,0.072,3
EX_LY_A_2022_SP_001_BS_230622_W_5_EX_230725,BS_230622_W_5,2023-07-25,8.0,0.04,3
EX_LY_A_2022_SP_001_BS_230622_W_6_EX_230725,BS_230622_W_6,2023-07-25,8.0,0.037,3
EX_LY_A_2022_SP_001_BS_230622_W_7_EX_230725,BS_230622_W_7,2023-07-25,8.0,0.105,3
EX_LY_A_2022_SP_002_BS_220623_C_1_EX_221006,BS_220623_C_1,2022-10-06,1.0,,1
EX_LY_A_2022_SP_002_BS_220623_C_1_EX_221011,BS_220623_C_1,2022-10-11,1.0,,1
EX_LY_A_2022_SP_002_BS_220623_C_2_EX_221012,BS_220623_C_2,2022-10-12,4.0,,2
EX_LY_A_2022_SP_002_BS_220623_C_3_EX_221012,BS_220623_C_3,2022-10-12,4.0,,2
EX_LY_A_2022_SP_002_BS_220623_C_4_EX_221012,BS_220623_C_4,2022-10-12,4.0,,2
EX_LY_A_2022_SP_002_BS_220623_C_5_EX_221012,BS_220623_C_5,2022-10-12,4.0,,2
EX_LY_A_2022_SP_002_BS_220623_C_6_EX_221012,BS_220623_C_6,2022-10-12,4.0,,2
EX_LY_A_2022_SP_002_BS_220623_C_7_EX_221012,BS_220623_C_7,2022-10-12,4.0,,2
EX_LY_A_2022_SP_002_BS_230622_W_1_EX_230725,BS_230622_W_1,2023-07-25,8.0,0.039,3
EX_LY_A_2022_SP_002_BS_230622_W_2_EX_230725,BS_230622_W_2,2023-07-25,8.0,0.09,3
EX_LY_A_2022_SP_002_BS_230622_W_3_EX_230725,BS_230622_W_3,2023-07-25,8.0,0.019,3
EX_LY_A_2022_SP_002_BS_230622_W_4_EX_230725,BS_230622_W_4,2023-07-25,8.0,0.044,3
EX_LY_A_2022_SP_002_BS_230622_W_5_EX_230725,BS_230622_W_5,2023-07-25,8.0,0.04,3
EX_LY_A_2022_SP_002_BS_230622_W_6_EX_230725,BS_230622_W_6,2023-07-25,8.0,0.045,3
EX_LY_A_2022_SP_002_BS_230622_W_7_EX_230725,BS_230622_W_7,2023-07-25,8.0,0.117,3
EX_LY_A_2022_SP_003_BS_220623_C_1_EX_221012,BS_220623_C_1,2022-10-12,4.0,,2
EX_LY_A_2022_SP_003_BS_220623_C_2_EX_221012,BS_220623_C_2,2022-10-12,4.0,,2
EX_LY_A_2022_SP_003_BS_220623_C_3_EX_221012,BS_220623_C_3,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_003_BS_220623_C_4_EX_221012,BS_220623_C_4,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_003_BS_220623_C_5_EX_221012,BS_220623_C_5,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_003_BS_220623_C_6_EX_221012,BS_220623_C_6,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_003_BS_220623_C_7_EX_221012,BS_220623_C_7,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_003_BS_230622_W_1_EX_230725,BS_230622_W_1,2023-07-25,8.0,0.03,3
EX_LY_A_2022_SP_003_BS_230622_W_2_EX_230725,BS_230622_W_2,2023-07-25,8.0,0.011,3
EX_LY_A_2022_SP_003_BS_230622_W_3_EX_230725,BS_230622_W_3,2023-07-25,8.0,0.006,3
EX_LY_A_2022_SP_003_BS_230622_W_4_EX_230725,BS_230622_W_4,2023-07-25,8.0,0.114,3
EX_LY_A_2022_SP_003_BS_230622_W_5_EX_230725,BS_230622_W_5,2023-07-25,8.0,0.007,3
EX_LY_A_2022_SP_003_BS_230622_W_6_EX_230725,BS_230622_W_6,2023-07-25,8.0,0.899,3
EX_LY_A_2022_SP_003_BS_230622_W_7_EX_230725,BS_230622_W_7,2023-07-25,8.0,0.194,3
EX_LY_A_2022_SP_004_BS_220623_C_0_EX_221012,BS_220623_C_0,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_004_BS_230622_W_1_EX_230725,BS_230622_W_1,2023-07-25,8.0,0.096,3
EX_LY_A_2022_SP_004_BS_230622_W_2_EX_230725,BS_230622_W_2,2023-07-25,8.0,0.124,3
EX_LY_A_2022_SP_004_BS_230622_W_3_EX_230725,BS_230622_W_3,2023-07-25,8.0,0.12,3
EX_LY_A_2022_SP_004_BS_230622_W_4_EX_230725,BS_230622_W_4,2023-07-25,8.0,0.418,3
EX_LY_A_2022_SP_004_BS_230622_W_5_EX_230725,BS_230622_W_5,2023-07-25,8.0,0.032,3
EX_LY_A_2022_SP_004_BS_230622_W_6_EX_230726,BS_230622_W_6,2023-07-26,8.0,0.215,3
EX_LY_A_2022_SP_004_BS_230622_W_7_EX_230726,BS_230622_W_7,2023-07-26,8.0,0.675,3
EX_LY_A_2022_SP_005_BS_220623_C_0_EX_221012,BS_220623_C_0,2022-10-12,4.0 | 4,,11
EX_LY_A_2022_SP_005_BS_230622_W_1_EX_230726,BS_230622_W_1,2023-07-26,8.0,0.373,3
