FF_id,FP_id,SA_id,SR_id,FF_read_direction,FF_filename,FF_relative_path,FF_reads
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_pos_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_pos_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_pos__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-pos_S54_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-pos_S54_L001_R1_001.fastq.gz,29853
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_pos_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_pos_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_pos__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-pos_S54_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-pos_S54_L001_R2_001.fastq.gz,29853
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_24_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_24_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_24__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-24_S24_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-24_S24_L001_R1_001.fastq.gz,33487
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_24_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_24_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_24__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-24_S24_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-24_S24_L001_R2_001.fastq.gz,33487
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_23_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_23_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_23__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-23_S23_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-23_S23_L001_R1_001.fastq.gz,35655
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_23_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_23_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_23__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-23_S23_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-23_S23_L001_R2_001.fastq.gz,35655
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_22_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_22_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_22__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-22_S22_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-22_S22_L001_R1_001.fastq.gz,31545
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_22_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_22_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_22__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-22_S22_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-22_S22_L001_R2_001.fastq.gz,31545
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_21_2020_washed_amplicon_P01__R1,FP_SA_seq230710_GW4I8_T_2020_ITS_c_21_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_21__2020_washed_amplicon,seq230710_GW4I8,R1,T-2020-ITS-c-21_S21_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-21_S21_L001_R1_001.fastq.gz,38864
FF_FP_SA_seq230710_GW4I8_T_2020_ITS_c_21_2020_washed_amplicon_P01__R2,FP_SA_seq230710_GW4I8_T_2020_ITS_c_21_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_21__2020_washed_amplicon,seq230710_GW4I8,R2,T-2020-ITS-c-21_S21_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-21_S21_L001_R2_001.fastq.gz,38864
