FP_id,SA_id,SR_id,LP_id,FP_source,FP_rowname,FP_pair_number,FP_forward_fq,FP_reverse_fq,FP_forward_path,FP_reverse_path,FP_forward_reads,FP_reverse_reads,FP_include_control_crushed_amplicon,FP_control_crushed_amplicon_SA_id,FP_pair_reads,FP_total_reads,FP_has_read_count,FP_include_candidate,FP_exclude_reason
FP_SA_seq230710_GW4I8_T_2020_ITS_c_pos_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_pos__2020_washed_amplicon,seq230710_GW4I8,LP_LY_X_0000_SP_000_BS_ZYMCTL_X_0_EX_000000_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-pos_S54_L001_R1_001.fastq.gz,1,T-2020-ITS-c-pos_S54_L001_R1_001.fastq.gz,T-2020-ITS-c-pos_S54_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-pos_S54_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-pos_S54_L001_R2_001.fastq.gz,29853,29853,False,,29853,59706,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_24_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_24__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_024_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-24_S24_L001_R1_001.fastq.gz,1,T-2020-ITS-c-24_S24_L001_R1_001.fastq.gz,T-2020-ITS-c-24_S24_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-24_S24_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-24_S24_L001_R2_001.fastq.gz,33487,33487,False,,33487,66974,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_23_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_23__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_023_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-23_S23_L001_R1_001.fastq.gz,1,T-2020-ITS-c-23_S23_L001_R1_001.fastq.gz,T-2020-ITS-c-23_S23_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-23_S23_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-23_S23_L001_R2_001.fastq.gz,35655,35655,False,,35655,71310,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_22_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_22__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_022_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-22_S22_L001_R1_001.fastq.gz,1,T-2020-ITS-c-22_S22_L001_R1_001.fastq.gz,T-2020-ITS-c-22_S22_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-22_S22_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-22_S22_L001_R2_001.fastq.gz,31545,31545,False,,31545,63090,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_21_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_21__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_021_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-21_S21_L001_R1_001.fastq.gz,1,T-2020-ITS-c-21_S21_L001_R1_001.fastq.gz,T-2020-ITS-c-21_S21_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-21_S21_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-21_S21_L001_R2_001.fastq.gz,38864,38864,False,,38864,77728,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_20_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_20__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_020_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-20_S20_L001_R1_001.fastq.gz,1,T-2020-ITS-c-20_S20_L001_R1_001.fastq.gz,T-2020-ITS-c-20_S20_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-20_S20_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-20_S20_L001_R2_001.fastq.gz,41584,41584,False,,41584,83168,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_19_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_19__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_019_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-19_S19_L001_R1_001.fastq.gz,1,T-2020-ITS-c-19_S19_L001_R1_001.fastq.gz,T-2020-ITS-c-19_S19_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-19_S19_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-19_S19_L001_R2_001.fastq.gz,42861,42861,False,,42861,85722,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_18_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_18__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_018_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-18_S18_L001_R1_001.fastq.gz,1,T-2020-ITS-c-18_S18_L001_R1_001.fastq.gz,T-2020-ITS-c-18_S18_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-18_S18_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-18_S18_L001_R2_001.fastq.gz,27187,27187,False,,27187,54374,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_17_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_17__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_017_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-17_S17_L001_R1_001.fastq.gz,1,T-2020-ITS-c-17_S17_L001_R1_001.fastq.gz,T-2020-ITS-c-17_S17_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-17_S17_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-17_S17_L001_R2_001.fastq.gz,23398,23398,False,,23398,46796,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_16_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_16__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_016_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-16_S16_L001_R1_001.fastq.gz,1,T-2020-ITS-c-16_S16_L001_R1_001.fastq.gz,T-2020-ITS-c-16_S16_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-16_S16_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-16_S16_L001_R2_001.fastq.gz,31505,31505,False,,31505,63010,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_15_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_15__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_015_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-15_S15_L001_R1_001.fastq.gz,1,T-2020-ITS-c-15_S15_L001_R1_001.fastq.gz,T-2020-ITS-c-15_S15_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-15_S15_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-15_S15_L001_R2_001.fastq.gz,40996,40996,False,,40996,81992,True,True,
FP_SA_seq230710_GW4I8_T_2020_ITS_c_14_2020_washed_amplicon__P01,SA_seq230710_GW4I8__T_2020_ITS_c_14__2020_washed_amplicon,seq230710_GW4I8,LP_LY_T_2020_SP_014_BS_200603_W_1_EX_210109_LP_230428_ITS,2020_washed_amplicon,seq230710_GW4I8/T-2020-ITS-c-14_S14_L001_R1_001.fastq.gz,1,T-2020-ITS-c-14_S14_L001_R1_001.fastq.gz,T-2020-ITS-c-14_S14_L001_R2_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-14_S14_L001_R1_001.fastq.gz,./seq230710_GW4I8/T-2020-ITS-c-14_S14_L001_R2_001.fastq.gz,22310,22310,False,,22310,44620,True,True,
