LS_id,LY_id,SP_id,LS_block,LS_plot,LS_subplot,LS_cultivar,LS_spray,LS_fertilizer,LS_density,LS_location,LS_row_count
LS_LY_A_2022_SP_001,LY_A_2022,SP_001,1.0,1.0,,Rembrandt,False,n,,A,35
LS_LY_A_2022_SP_002,LY_A_2022,SP_002,1.0,2.0,,Heerup,False,n,,A,35
LS_LY_A_2022_SP_003,LY_A_2022,SP_003,1.0,3.0,,Kvium,False,n,,A,80
LS_LY_A_2022_SP_004,LY_A_2022,SP_004,1.0,4.0,,Rembrandt,True,n,,A,32
LS_LY_A_2022_SP_005,LY_A_2022,SP_005,1.0,5.0,,Kvium,True,n,,A,32
LS_LY_A_2022_SP_006,LY_A_2022,SP_006,1.0,6.0,,Heerup,True,n,,A,32
LS_LY_A_2022_SP_007,LY_A_2022,SP_007,2.0,7.0,,Heerup,True,n,,A,32
LS_LY_A_2022_SP_008,LY_A_2022,SP_008,2.0,8.0,,Rembrandt,True,n,,A,32
LS_LY_A_2022_SP_009,LY_A_2022,SP_009,2.0,9.0,,Kvium,True,n,,A,32
LS_LY_A_2022_SP_010,LY_A_2022,SP_010,2.0,10.0,,Rembrandt,False,n,,A,98
LS_LY_A_2022_SP_011,LY_A_2022,SP_011,2.0,11.0,,Kvium,False,n,,A,89
LS_LY_A_2022_SP_012,LY_A_2022,SP_012,2.0,12.0,,Heerup,False,n,,A,35
LS_LY_A_2022_SP_013,LY_A_2022,SP_013,3.0,13.0,,Heerup,False,n,,A,63
LS_LY_A_2022_SP_014,LY_A_2022,SP_014,3.0,14.0,,Rembrandt,False,n,,A,63
LS_LY_A_2022_SP_015,LY_A_2022,SP_015,3.0,15.0,,Kvium,False,n,,A,52
LS_LY_A_2022_SP_016,LY_A_2022,SP_016,3.0,16.0,,Rembrandt,True,n,,A,16
LS_LY_A_2022_SP_017,LY_A_2022,SP_017,3.0,17.0,,Kvium,True,n,,A,16
LS_LY_A_2022_SP_018,LY_A_2022,SP_018,3.0,18.0,,Heerup,True,n,,A,24
LS_LY_A_2022_SP_019,LY_A_2022,SP_019,4.0,19.0,,Rembrandt,True,n,,A,24
LS_LY_A_2022_SP_020,LY_A_2022,SP_020,4.0,20.0,,Heerup,True,n,,A,24
LS_LY_A_2022_SP_021,LY_A_2022,SP_021,4.0,21.0,,Kvium,True,n,,A,24
LS_LY_A_2022_SP_022,LY_A_2022,SP_022,4.0,22.0,,Kvium,False,n,,A,52
LS_LY_A_2022_SP_023,LY_A_2022,SP_023,4.0,23.0,,Rembrandt,False,n,,A,76
LS_LY_A_2022_SP_024,LY_A_2022,SP_024,4.0,24.0,,Heerup,False,n,,A,28
LS_LY_H_2022_SP_001,LY_H_2022,SP_001,1.0,1.0,,Kvium,False,n,unknown,H,35
LS_LY_H_2022_SP_002,LY_H_2022,SP_002,1.0,2.0,,Rembrandt,False,n,unknown,H,33
LS_LY_H_2022_SP_003,LY_H_2022,SP_003,1.0,3.0,,Heerup,False,n,unknown,H,33
LS_LY_H_2022_SP_004,LY_H_2022,SP_004,,4.0,,Kvium,True,,,H,20
LS_LY_H_2022_SP_005,LY_H_2022,SP_005,,5.0,,Rembrandt,True,,,H,20
LS_LY_H_2022_SP_006,LY_H_2022,SP_006,,6.0,,Heerup,True,,,H,21
LS_LY_H_2022_SP_007,LY_H_2022,SP_007,3.0,7.0,,Rembrandt,False,n,unknown,H,35
LS_LY_H_2022_SP_008,LY_H_2022,SP_008,3.0,8.0,,Kvium,False,n,unknown,H,32
LS_LY_H_2022_SP_009,LY_H_2022,SP_009,3.0,9.0,,Heerup,False,n,unknown,H,33
LS_LY_H_2022_SP_010,LY_H_2022,SP_010,,10.0,,Heerup,True,,,H,21
LS_LY_H_2022_SP_011,LY_H_2022,SP_011,,11.0,,Rembrandt,True,,,H,21
LS_LY_H_2022_SP_012,LY_H_2022,SP_012,,12.0,,Kvium,True,,,H,21
LS_LY_H_2022_SP_013,LY_H_2022,SP_013,5.0,13.0,,Kvium,False,n,unknown,H,29
LS_LY_H_2022_SP_014,LY_H_2022,SP_014,5.0,14.0,,Rembrandt,False,n,unknown,H,29
LS_LY_H_2022_SP_015,LY_H_2022,SP_015,5.0,15.0,,Heerup,False,n,unknown,H,28
LS_LY_H_2022_SP_016,LY_H_2022,SP_016,,16.0,,Heerup,True,,,H,14
LS_LY_H_2022_SP_017,LY_H_2022,SP_017,,17.0,,Kvium,True,,,H,14
LS_LY_H_2022_SP_018,LY_H_2022,SP_018,,18.0,,Rembrandt,True,,,H,14
LS_LY_H_2022_SP_019,LY_H_2022,SP_019,7.0,19.0,,Rembrandt,False,n,unknown,H,28
LS_LY_H_2022_SP_020,LY_H_2022,SP_020,7.0,20.0,,Kvium,False,n,unknown,H,26
LS_LY_H_2022_SP_021,LY_H_2022,SP_021,7.0,21.0,,Heerup,False,n,unknown,H,28
LS_LY_H_2022_SP_022,LY_H_2022,SP_022,,22.0,,Rembrandt,True,,,H,14
LS_LY_H_2022_SP_023,LY_H_2022,SP_023,,23.0,,Heerup,True,,,H,14
LS_LY_H_2022_SP_024,LY_H_2022,SP_024,,24.0,,Kvium,True,,,H,14
LS_LY_L_2022_SP_001,LY_L_2022,SP_001,,1.0,,Heerup,False,,,L,14
LS_LY_L_2022_SP_002,LY_L_2022,SP_002,,2.0,,Kvium,False,,,L,8
LS_LY_L_2022_SP_003,LY_L_2022,SP_003,,3.0,,Rembrandt,False,,,L,14
LS_LY_L_2022_SP_004,LY_L_2022,SP_004,,4.0,,Kvium,True,,,L,14
LS_LY_L_2022_SP_005,LY_L_2022,SP_005,,5.0,,Rembrandt,True,,,L,14
LS_LY_L_2022_SP_006,LY_L_2022,SP_006,,6.0,,Heerup,True,,,L,14
LS_LY_L_2022_SP_007,LY_L_2022,SP_007,,7.0,,Heerup,True,,,L,14
LS_LY_L_2022_SP_008,LY_L_2022,SP_008,,8.0,,Kvium,True,,,L,14
LS_LY_L_2022_SP_009,LY_L_2022,SP_009,,9.0,,Rembrandt,True,,,L,14
LS_LY_L_2022_SP_010,LY_L_2022,SP_010,,10.0,,Heerup,False,,,L,14
LS_LY_L_2022_SP_011,LY_L_2022,SP_011,,11.0,,Rembrandt,False,,,L,4
LS_LY_L_2022_SP_012,LY_L_2022,SP_012,,12.0,,Kvium,False,,,L,14
LS_LY_L_2022_SP_013,LY_L_2022,SP_013,,13.0,,Heerup,False,,,L,14
LS_LY_L_2022_SP_014,LY_L_2022,SP_014,,14.0,,Kvium,False,,,L,18
LS_LY_L_2022_SP_015,LY_L_2022,SP_015,,15.0,,Rembrandt,False,,,L,21
LS_LY_L_2022_SP_016,LY_L_2022,SP_016,,16.0,,Heerup,True,,,L,20
LS_LY_L_2022_SP_017,LY_L_2022,SP_017,,17.0,,Rembrandt,True,,,L,21
LS_LY_L_2022_SP_018,LY_L_2022,SP_018,,18.0,,Kvium,True,,,L,21
LS_LY_L_2022_SP_019,LY_L_2022,SP_019,,19.0,,Rembrandt,True,,,L,21
LS_LY_L_2022_SP_020,LY_L_2022,SP_020,,20.0,,Kvium,True,,,L,21
LS_LY_L_2022_SP_021,LY_L_2022,SP_021,,21.0,,Heerup,True,,,L,21
LS_LY_L_2022_SP_022,LY_L_2022,SP_022,,22.0,,Rembrandt,False,,,L,21
LS_LY_L_2022_SP_023,LY_L_2022,SP_023,,23.0,,Kvium,False,,,L,21
LS_LY_L_2022_SP_024,LY_L_2022,SP_024,,24.0,,Heerup,False,,,L,19
LS_LY_R_2022_SP_001,LY_R_2022,SP_001,1.0,1.0,,Rembrandt,False,NORMAL,unknown,R,74
LS_LY_R_2022_SP_002,LY_R_2022,SP_002,1.0,2.0,,Heerup,False,NORMAL,unknown,R,73
LS_LY_R_2022_SP_003,LY_R_2022,SP_003,3.0,3.0,,Kvium,True,NORMAL,unknown,R,59
LS_LY_R_2022_SP_004,LY_R_2022,SP_004,3.0,4.0,,Heerup,True,NORMAL,unknown,R,57
LS_LY_R_2022_SP_005,LY_R_2022,SP_005,3.0,5.0,,Rembrandt,True,NORMAL,unknown,R,57
LS_LY_R_2022_SP_006,LY_R_2022,SP_006,4.0 | 7.0,6.0,,Kvium,False,NORMAL,unknown,R,74
LS_LY_R_2022_SP_007,LY_R_2022,SP_007,6.0,7.0,,Heerup,True,NORMAL,unknown,R,59
LS_LY_R_2022_SP_008,LY_R_2022,SP_008,7.0,8.0,,Rembrandt,True,NORMAL,unknown,R,59
LS_LY_R_2022_SP_009,LY_R_2022,SP_009,7.0,9.0,,Kvium,True,NORMAL,unknown,R,56
LS_LY_R_2022_SP_010,LY_R_2022,SP_010,8.0,10.0,,Heerup,False,NORMAL,unknown,R,74
LS_LY_R_2022_SP_011,LY_R_2022,SP_011,8.0,11.0,,Rembrandt,False,NORMAL,unknown,R,74
LS_LY_R_2022_SP_012,LY_R_2022,SP_012,8.0,12.0,,Kvium,False,NORMAL,unknown,R,73
LS_LY_R_2022_SP_013,LY_R_2022,SP_013,9.0,13.0,,Heerup,False,NORMAL,unknown,R,74
LS_LY_R_2022_SP_014,LY_R_2022,SP_014,9.0,14.0,,Kvium,False,NORMAL,unknown,R,74
LS_LY_R_2022_SP_015,LY_R_2022,SP_015,9.0,15.0,,Rembrandt,False,NORMAL,unknown,R,73
LS_LY_R_2022_SP_016,LY_R_2022,SP_016,10.0,16.0,,Rembrandt,True,NORMAL,unknown,R,58
LS_LY_R_2022_SP_017,LY_R_2022,SP_017,10.0,17.0,,Heerup,True,NORMAL,unknown,R,59
LS_LY_R_2022_SP_018,LY_R_2022,SP_018,10.0,18.0,,Kvium,True,NORMAL,unknown,R,58
LS_LY_R_2022_SP_019,LY_R_2022,SP_019,13.0,19.0,,Rembrandt,False,NORMAL,unknown,R,72
LS_LY_R_2022_SP_020,LY_R_2022,SP_020,13.0,20.0,,Heerup,False,NORMAL,unknown,R,70
LS_LY_R_2022_SP_021,LY_R_2022,SP_021,14.0,21.0,,Heerup,True,NORMAL,unknown,R,57
LS_LY_R_2022_SP_022,LY_R_2022,SP_022,15.0,22.0,,Kvium,True,NORMAL,unknown,R,56
LS_LY_R_2022_SP_023,LY_R_2022,SP_023,15.0,23.0,,Rembrandt,True,NORMAL,unknown,R,58
LS_LY_R_2022_SP_024,LY_R_2022,SP_024,16.0,24.0,,Kvium,False,NORMAL,unknown,R,71
LS_LY_S_2022_SP_001,LY_S_2022,SP_001,,1.0,,Kvium,False,,,S,14
LS_LY_S_2022_SP_002,LY_S_2022,SP_002,,2.0,,Heerup,False,,,S,14
LS_LY_S_2022_SP_003,LY_S_2022,SP_003,,3.0,,Rembrandt,False,,,S,14
LS_LY_S_2022_SP_004,LY_S_2022,SP_004,,4.0,,Rembrandt,True,,,S,14
LS_LY_S_2022_SP_005,LY_S_2022,SP_005,,5.0,,Kvium,True,,,S,14
LS_LY_S_2022_SP_006,LY_S_2022,SP_006,,6.0,,Heerup,True,,,S,14
LS_LY_S_2022_SP_007,LY_S_2022,SP_007,,7.0,,Heerup,True,,,S,14
LS_LY_S_2022_SP_008,LY_S_2022,SP_008,,8.0,,Kvium,True,,,S,14
LS_LY_S_2022_SP_009,LY_S_2022,SP_009,,9.0,,Rembrandt,True,,,S,14
LS_LY_S_2022_SP_010,LY_S_2022,SP_010,,10.0,,Rembrandt,False,,,S,14
LS_LY_S_2022_SP_011,LY_S_2022,SP_011,,11.0,,Heerup,False,,,S,14
LS_LY_S_2022_SP_012,LY_S_2022,SP_012,,12.0,,Kvium,False,,,S,14
LS_LY_S_2022_SP_013,LY_S_2022,SP_013,,13.0,,Kvium,False,,,S,14
LS_LY_S_2022_SP_014,LY_S_2022,SP_014,,14.0,,Heerup,False,,,S,20
LS_LY_S_2022_SP_015,LY_S_2022,SP_015,,15.0,,Rembrandt,False,,,S,21
LS_LY_S_2022_SP_016,LY_S_2022,SP_016,,16.0,,Kvium,True,,,S,21
LS_LY_S_2022_SP_017,LY_S_2022,SP_017,,17.0,,Rembrandt,True,,,S,21
LS_LY_S_2022_SP_018,LY_S_2022,SP_018,,18.0,,Heerup,True,,,S,20
LS_LY_S_2022_SP_019,LY_S_2022,SP_019,,19.0,,Rembrandt,True,,,S,21
LS_LY_S_2022_SP_020,LY_S_2022,SP_020,,20.0,,Kvium,True,,,S,21
LS_LY_S_2022_SP_021,LY_S_2022,SP_021,,21.0,,Heerup,True,,,S,21
LS_LY_S_2022_SP_022,LY_S_2022,SP_022,,22.0,,Heerup,False,,,S,21
LS_LY_S_2022_SP_023,LY_S_2022,SP_023,,23.0,,Rembrandt,False,,,S,21
LS_LY_S_2022_SP_024,LY_S_2022,SP_024,,24.0,,Kvium,False,,,S,21
LS_LY_T_2020_SP_001,LY_T_2020,SP_001,,,,Elixir,,,,,2
LS_LY_T_2020_SP_002,LY_T_2020,SP_002,,,,Elixir,,,,,2
LS_LY_T_2020_SP_003,LY_T_2020,SP_003,,,,Elixir,,,,,2
LS_LY_T_2020_SP_004,LY_T_2020,SP_004,,,,Elixir,,,,,2
LS_LY_T_2020_SP_005,LY_T_2020,SP_005,,,,Elixir,,,,,2
LS_LY_T_2020_SP_006,LY_T_2020,SP_006,,,,Elixir,,,,,2
LS_LY_T_2020_SP_007,LY_T_2020,SP_007,,,,Elixir,,,,,2
LS_LY_T_2020_SP_008,LY_T_2020,SP_008,,,,Elixir,,,,,2
LS_LY_T_2020_SP_009,LY_T_2020,SP_009,,,,Elixir,,,,,2
LS_LY_T_2020_SP_010,LY_T_2020,SP_010,,,,Elixir,,,,,2
LS_LY_T_2020_SP_011,LY_T_2020,SP_011,,,,Elixir,,,,,2
LS_LY_T_2020_SP_012,LY_T_2020,SP_012,,,,Elixir,,,,,2
LS_LY_T_2020_SP_013,LY_T_2020,SP_013,,,,Elixir,,,,,2
LS_LY_T_2020_SP_014,LY_T_2020,SP_014,,,,Elixir,,,,,2
LS_LY_T_2020_SP_015,LY_T_2020,SP_015,,,,Elixir,,,,,2
LS_LY_T_2020_SP_016,LY_T_2020,SP_016,,,,Elixir,,,,,2
LS_LY_T_2020_SP_017,LY_T_2020,SP_017,,,,Elixir,,,,,2
LS_LY_T_2020_SP_018,LY_T_2020,SP_018,,,,Elixir,,,,,2
LS_LY_T_2020_SP_019,LY_T_2020,SP_019,,,,Elixir,,,,,2
LS_LY_T_2020_SP_020,LY_T_2020,SP_020,,,,Elixir,,,,,2
LS_LY_T_2020_SP_021,LY_T_2020,SP_021,,,,Elixir,,,,,2
LS_LY_T_2020_SP_022,LY_T_2020,SP_022,,,,Elixir,,,,,2
