OB_code,OB_table,OB_primary_key,OB_description
OB,OB_object_registry,OB_code,Object registry and naming rules
LY,LY_location_year,LY_id,Location/year context
SP,SP_sample_plot,SP_id,Sample plot identity
LS,LS_location_sample_plot,LS_id,Location-year/sample-plot bridge
BS,BS_biological_sample,BS_id,Biological sample or biological control material
EX,EX_extraction,EX_id,DNA extraction
LP,LP_library_preparation,LP_id,Prepared library
SR,SR_sequencing_run,SR_id,Sequencing run/folder
SA,SA_sequencing_attempt,SA_id,A library sequenced in a run
FP,FP_fastq_pair,FP_id,One R1/R2 FASTQ pair
FF,FF_fastq_file,FF_id,One FASTQ file
RC,RC_read_count,RC_id,Read count for one FASTQ file
