SA_id,LP_id,SR_id,BS_id,EX_id,LS_id,LY_id,SP_id,SA_source,SA_seq_sample_ID,SA_is_rerun,SA_sequencing_run,SA_duplicate_number
SA_seq230710_GW4I8__T_2020_ITS_c_pos__2020_washed_amplicon,LP_LY_X_0000_SP_000_BS_ZYMCTL_X_0_EX_000000_LP_230428_ITS,seq230710_GW4I8,BS_ZYMCTL_X_0,EX_LY_X_0000_SP_000_BS_ZYMCTL_X_0_EX_000000,LS_LY_X_0000_SP_000,LY_X_0000,SP_000,2020_washed_amplicon,T-2020-ITS-c-pos,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_24__2020_washed_amplicon,LP_LY_T_2020_SP_024_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_024_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_024,LY_T_2020,SP_024,2020_washed_amplicon,T-2020-ITS-c-24,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_23__2020_washed_amplicon,LP_LY_T_2020_SP_023_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_023_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_023,LY_T_2020,SP_023,2020_washed_amplicon,T-2020-ITS-c-23,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_22__2020_washed_amplicon,LP_LY_T_2020_SP_022_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_022_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_022,LY_T_2020,SP_022,2020_washed_amplicon,T-2020-ITS-c-22,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_21__2020_washed_amplicon,LP_LY_T_2020_SP_021_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_021_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_021,LY_T_2020,SP_021,2020_washed_amplicon,T-2020-ITS-c-21,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_20__2020_washed_amplicon,LP_LY_T_2020_SP_020_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_020_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_020,LY_T_2020,SP_020,2020_washed_amplicon,T-2020-ITS-c-20,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_19__2020_washed_amplicon,LP_LY_T_2020_SP_019_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_019_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_019,LY_T_2020,SP_019,2020_washed_amplicon,T-2020-ITS-c-19,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_18__2020_washed_amplicon,LP_LY_T_2020_SP_018_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_018_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_018,LY_T_2020,SP_018,2020_washed_amplicon,T-2020-ITS-c-18,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_17__2020_washed_amplicon,LP_LY_T_2020_SP_017_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_017_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_017,LY_T_2020,SP_017,2020_washed_amplicon,T-2020-ITS-c-17,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_16__2020_washed_amplicon,LP_LY_T_2020_SP_016_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_016_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_016,LY_T_2020,SP_016,2020_washed_amplicon,T-2020-ITS-c-16,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_15__2020_washed_amplicon,LP_LY_T_2020_SP_015_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_015_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_015,LY_T_2020,SP_015,2020_washed_amplicon,T-2020-ITS-c-15,False,seq230710_GW4I8,1
SA_seq230710_GW4I8__T_2020_ITS_c_14__2020_washed_amplicon,LP_LY_T_2020_SP_014_BS_200603_W_1_EX_210109_LP_230428_ITS,seq230710_GW4I8,BS_200603_W_1,EX_LY_T_2020_SP_014_BS_200603_W_1_EX_210109,LS_LY_T_2020_SP_014,LY_T_2020,SP_014,2020_washed_amplicon,T-2020-ITS-c-14,False,seq230710_GW4I8,1
