SP_id,SP_sample_number,SP_plot,SP_source_values,SP_row_count
SP_000,,,SP_000,166
SP_001,1.0 | 1,1.0 | 1,SP_001,178
SP_002,2.0 | 2,2.0 | 2,SP_002,169
SP_003,3.0 | 3,3.0 | 3,SP_003,254
SP_004,4.0 | 4,4.0 | 4,SP_004,143
SP_005,5.0 | 5,5.0 | 5,SP_005,192
SP_006,6.0 | 6,6.0 | 6,SP_006,161
SP_007,7.0 | 7,7.0 | 7,SP_007,160
SP_008,8.0 | 8,8.0 | 8,SP_008,157
SP_009,9.0 | 9,9.0 | 9,SP_009,204
SP_010,10.0 | 10,10.0 | 10,SP_010,271
SP_011,11.0 | 11,11.0 | 11,SP_011,208
SP_012,12.0 | 12,12.0 | 12,SP_012,163
SP_013,13.0 | 13,13.0 | 13,SP_013,200
SP_014,14.0 | 14,14.0 | 14,SP_014,210
SP_015,15.0 | 15,15.0 | 15,SP_015,201
SP_016,16.0 | 16,16.0 | 16,SP_016,135
SP_017,17.0 | 17,17.0 | 17,SP_017,181
SP_018,18.0 | 18,18.0 | 18,SP_018,185
SP_019,19.0 | 19,19.0 | 19,SP_019,172
SP_020,20.0 | 20,20.0 | 20,SP_020,168
SP_021,21.0 | 21,21.0 | 21,SP_021,157
SP_022,22.0 | 22,22.0 | 22,SP_022,215
SP_023,23.0 | 23,23.0 | 23,SP_023,196
SP_024,24.0 | 24,24.0 | 24,SP_024,199
SP_025,25.0 | 25,25.0 | 25,SP_025,52
SP_026,26.0 | 26,26.0 | 26,SP_026,55
SP_027,27.0 | 27,27.0 | 27,SP_027,6
SP_028,28.0 | 28,28.0 | 28,SP_028,54
SP_029,29.0 | 29,29.0 | 29,SP_029,6
SP_030,30.0 | 30,30.0 | 30,SP_030,6
SP_031,31.0 | 31,31.0 | 31,SP_031,6
SP_032,32.0 | 32,32.0 | 32,SP_032,6
SP_033,33.0 | 33,33.0 | 33,SP_033,6
SP_034,34.0 | 34,34.0 | 34,SP_034,6
SP_035,35.0 | 35,35.0 | 35,SP_035,54
SP_036,36.0 | 36,36.0 | 36,SP_036,6
SP_037,37.0 | 37,37.0 | 37,SP_037,50
SP_038,38.0 | 38,38.0 | 38,SP_038,50
SP_039,39.0 | 39,39.0 | 39,SP_039,6
SP_040,40.0 | 40,40.0 | 40,SP_040,6
SP_041,41.0 | 41,41.0 | 41,SP_041,50
SP_042,42.0 | 42,42.0 | 42,SP_042,6
