bio_sample_id,sampling_plot_id,sample_number,number_bio,number_sample,sample_date,sample_type,id_on_field,sample_weight_g,sample_weight_plus_minus_2mg,washed_date,lyophilised_date,crushed_date,harvest_date,yield_grain,yield_straw,yield_TGW
ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306,SP__LY__2020__UNKNOWN,,,,,,,,,,,,,,,
T-030620-w-24,SP__LY__2020__26.0__middle,24.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-23,SP__LY__2020__25.0__middle,23.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-22,SP__LY__2020__24.0__middle,22.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-21,SP__LY__2020__23.0__middle,21.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-20,SP__LY__2020__22.0__middle,20.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-19,SP__LY__2020__21.0__middle,19.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-18,SP__LY__2020__20.0__middle,18.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-17,SP__LY__2020__18.0__middle,17.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-16,SP__LY__2020__16.0__middle,16.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-15,SP__LY__2020__15.0__middle,15.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-14,SP__LY__2020__14.0__ext,14.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-13,SP__LY__2020__13.0__ext,13.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-12,SP__LY__2020__12.0__middle,12.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-11,SP__LY__2020__11.0__middle,11.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-10,SP__LY__2020__10.0__middle,10.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-9,SP__LY__2020__9.0__middle,9.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-8,SP__LY__2020__8.0__middle,8.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-7,SP__LY__2020__7.0__middle,7.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-6,SP__LY__2020__6.0__ext,6.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-5,SP__LY__2020__5.0__ext,5.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-4,SP__LY__2020__4.0__ext,4.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-3,SP__LY__2020__3.0__ext,3.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-2,SP__LY__2020__2.0__ext,2.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-25,SP__LY__2020__27.0__middle,25.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-26,SP__LY__2020__28.0__middle,26.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-27,SP__LY__2020__29.0__middle,27.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-28,SP__LY__2020__30.0__middle,28.0,,,2020-06-03,deep,,,75.0,,,,,,,
alex-control,SP__LY__2020__UNKNOWN,,,,,,,,,,,,,,,
T-030620-w-50,SP__LY__2020__67.0__ext,50.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-49,SP__LY__2020__66.0__ext,49.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-48,SP__LY__2020__65.0__ext,48.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-47,SP__LY__2020__64.0__ext,47.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-46,SP__LY__2020__63.0__ext,46.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-45,SP__LY__2020__62.0__ext,45.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-44,SP__LY__2020__61.0__middle,44.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-43,SP__LY__2020__60.0__middle,43.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-42,SP__LY__2020__59.0__middle,42.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-1,SP__LY__2020__1.0__ext,1.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-41,SP__LY__2020__58.0__ext,41.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-39,SP__LY__2020__51.0__middle,39.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-38,SP__LY__2020__49.0__middle,38.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-37,SP__LY__2020__47.0__middle,37.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-36,SP__LY__2020__41.0__middle,36.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-35,SP__LY__2020__39.0__middle,35.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-34,SP__LY__2020__37.0__middle,34.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-33,SP__LY__2020__36.0__middle,33.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-32,SP__LY__2020__34.0__middle,32.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-31,SP__LY__2020__33.0__middle,31.0,,,2020-06-03,deep,,,75.0,,,,,,,
T-030620-w-30,SP__LY__2020__32.0__middle,30.0,,,2020-06-03,deep,,,75.0,,,,,,,
