dna_extraction_id,bio_sample_id,DNA_plate_number,plate_position,DNA_ext_date,DNA_conc_plate,DNA_conc_plate_dilutedx10,DNA_conc_individual,speedvac_DNA_conc_individual,days_between_DNA_x
DX__ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306__7F,ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306,,7F,,,,,,
DX__T-030620-w-24__1.0__3H__2021-01-09,T-030620-w-24,1.0,3H,2021-01-09,2.12,,,,
DX__T-030620-w-23__1.0__3G__2021-01-09,T-030620-w-23,1.0,3G,2021-01-09,1.43,,,,
DX__T-030620-w-22__1.0__3F__2021-01-09,T-030620-w-22,1.0,3F,2021-01-09,0.91,,,,
DX__T-030620-w-21__1.0__3E__2021-01-09,T-030620-w-21,1.0,3E,2021-01-09,0.396,,,,
DX__T-030620-w-20__1.0__3D__2021-01-09,T-030620-w-20,1.0,3D,2021-01-09,1.1,,,,
DX__T-030620-w-19__1.0__3C__2021-01-09,T-030620-w-19,1.0,3C,2021-01-09,1.9,,,,
DX__T-030620-w-18__1.0__3B__2021-01-09,T-030620-w-18,1.0,3B,2021-01-09,0.421,,,,
DX__T-030620-w-17__1.0__3A__2021-01-09,T-030620-w-17,1.0,3A,2021-01-09,0.304,,,,
DX__T-030620-w-16__1.0__2H__2021-01-09,T-030620-w-16,1.0,2H,2021-01-09,0.142,,,,
DX__T-030620-w-15__1.0__2G__2021-01-09,T-030620-w-15,1.0,2G,2021-01-09,0.828,,,,
DX__T-030620-w-14__1.0__2F__2021-01-09,T-030620-w-14,1.0,2F,2021-01-09,0.451,,,,
DX__T-030620-w-13__1.0__2E__2021-01-09,T-030620-w-13,1.0,2E,2021-01-09,0.244,,,,
DX__T-030620-w-12__1.0__2D__2021-01-09,T-030620-w-12,1.0,2D,2021-01-09,0.189,,,,
DX__T-030620-w-11__1.0__2C__2021-01-09,T-030620-w-11,1.0,2C,2021-01-09,0.377,,,,
DX__T-030620-w-10__1.0__2B__2021-01-09,T-030620-w-10,1.0,2B,2021-01-09,0.315,,,,
DX__T-030620-w-9__1.0__2A__2021-01-09,T-030620-w-9,1.0,2A,2021-01-09,1.27,,,,
DX__T-030620-w-8__1.0__1H__2021-01-09,T-030620-w-8,1.0,1H,2021-01-09,0.614,,,,
DX__T-030620-w-7__1.0__1G__2021-01-09,T-030620-w-7,1.0,1G,2021-01-09,0.144,,,,
DX__T-030620-w-6__1.0__1F__2021-01-09,T-030620-w-6,1.0,1F,2021-01-09,0.467,,,,
DX__T-030620-w-5__1.0__1E__2021-01-09,T-030620-w-5,1.0,1E,2021-01-09,0.306,,,,
DX__T-030620-w-4__1.0__1D__2021-01-09,T-030620-w-4,1.0,1D,2021-01-09,2.17,,,,
DX__T-030620-w-3__1.0__1C__2021-01-09,T-030620-w-3,1.0,1C,2021-01-09,0.679,,,,
DX__T-030620-w-2__1.0__1B__2021-01-09,T-030620-w-2,1.0,1B,2021-01-09,0.63,,,,
DX__T-030620-w-25__1.0__4A__2021-01-09,T-030620-w-25,1.0,4A,2021-01-09,0.622,,,,
DX__T-030620-w-26__1.0__4B__2021-01-09,T-030620-w-26,1.0,4B,2021-01-09,0.855,,,,
DX__T-030620-w-27__1.0__4C__2021-01-09,T-030620-w-27,1.0,4C,2021-01-09,0.962,,,,
DX__T-030620-w-28__1.0__4D__2021-01-09,T-030620-w-28,1.0,4D,2021-01-09,0.571,,,,
DX__alex-control__7D,alex-control,,7D,,,,,,
DX__alex-control__7C,alex-control,,7C,,,,,,
DX__T-030620-w-50__1.0__7B__2021-01-09,T-030620-w-50,1.0,7B,2021-01-09,0.34,,,,
DX__T-030620-w-49__1.0__7A__2021-01-09,T-030620-w-49,1.0,7A,2021-01-09,0.311,,,,
DX__T-030620-w-48__1.0__6H__2021-01-09,T-030620-w-48,1.0,6H,2021-01-09,3.3,,,,
DX__T-030620-w-47__1.0__6G__2021-01-09,T-030620-w-47,1.0,6G,2021-01-09,2.2,,,,
DX__T-030620-w-46__1.0__6F__2021-01-09,T-030620-w-46,1.0,6F,2021-01-09,0.571,,,,
