location_year_id,vila_ID,year
LY__2020,,2020
LY__2021,,2021
LY__2022,,2022
LY__1.0__2023,1.0,2023
LY__32.0__2023,32.0,2023
LY__33.0__2023,33.0,2023
LY__34.0__2023,34.0,2023
LY__35.0__2023,35.0,2023
LY__36.0__2023,36.0,2023
LY__145.0__2023,145.0,2023
LY__149.0__2023,149.0,2023
LY__153.0__2023,153.0,2023
LY__157.0__2023,157.0,2023
LY__205.0__2023,205.0,2023
LY__201.0__2023,201.0,2023
LY__197.0__2023,197.0,2023
LY__193.0__2023,193.0,2023
LY__209.0__2023,209.0,2023
LY__213.0__2023,213.0,2023
LY__217.0__2023,217.0,2023
LY__221.0__2023,221.0,2023
LY__253.0__2023,253.0,2023
LY__249.0__2023,249.0,2023
LY__245.0__2023,245.0,2023
LY__241.0__2023,241.0,2023
LY__257.0__2023,257.0,2023
LY__261.0__2023,261.0,2023
LY__265.0__2023,265.0,2023
LY__269.0__2023,269.0,2023
LY__273.0__2023,273.0,2023
LY__277.0__2023,277.0,2023
LY__31.0__2023,31.0,2023
LY__30.0__2023,30.0,2023
LY__29.0__2023,29.0,2023
LY__604.0__2023,604.0,2023
LY__21.0__2023,21.0,2023
LY__20.0__2023,20.0,2023
LY__19.0__2023,19.0,2023
LY__18.0__2023,18.0,2023
LY__17.0__2023,17.0,2023
LY__12.0__2023,12.0,2023
LY__11.0__2023,11.0,2023
LY__10.0__2023,10.0,2023
LY__9.0__2023,9.0,2023
LY__4.0__2023,4.0,2023
LY__3.0__2023,3.0,2023
LY__2.0__2023,2.0,2023
LY__24.0__2023,24.0,2023
LY__285.0__2023,285.0,2023
LY__648.0__2023,648.0,2023
LY__646.0__2023,646.0,2023
LY__645.0__2023,645.0,2023
LY__644.0__2023,644.0,2023
LY__643.0__2023,643.0,2023
LY__642.0__2023,642.0,2023
LY__641.0__2023,641.0,2023
LY__640.0__2023,640.0,2023
LY__639.0__2023,639.0,2023
LY__638.0__2023,638.0,2023
LY__637.0__2023,637.0,2023
LY__601.0__2023,601.0,2023
LY__602.0__2023,602.0,2023
LY__603.0__2023,603.0,2023
LY__647.0__2023,647.0,2023
LY__22.0__2023,22.0,2023
LY__161.0__2023,161.0,2023
LY__169.0__2023,169.0,2023
LY__165.0__2023,165.0,2023
LY__401.0__2023,401.0,2023
LY__385.0__2023,385.0,2023
LY__389.0__2023,389.0,2023
LY__393.0__2023,393.0,2023
LY__397.0__2023,397.0,2023
LY__365.0__2023,365.0,2023
LY__361.0__2023,361.0,2023
LY__357.0__2023,357.0,2023
LY__353.0__2023,353.0,2023
LY__337.0__2023,337.0,2023
LY__341.0__2023,341.0,2023
LY__23.0__2023,23.0,2023
LY__349.0__2023,349.0,2023
LY__345.0__2023,345.0,2023
LY__189.0__2023,189.0,2023
LY__185.0__2023,185.0,2023
LY__181.0__2023,181.0,2023
LY__177.0__2023,177.0,2023
LY__225.0__2023,225.0,2023
LY__173.0__2023,173.0,2023
LY__233.0__2023,233.0,2023
LY__237.0__2023,237.0,2023
LY__289.0__2023,289.0,2023
LY__293.0__2023,293.0,2023
LY__297.0__2023,297.0,2023
LY__229.0__2023,229.0,2023
LY__465.0__2023,465.0,2023
LY__469.0__2023,469.0,2023
LY__473.0__2023,473.0,2023
LY__477.0__2023,477.0,2023
LY__461.0__2023,461.0,2023
LY__457.0__2023,457.0,2023
LY__449.0__2023,449.0,2023
LY__573.0__2023,573.0,2023
LY__569.0__2023,569.0,2023
LY__565.0__2023,565.0,2023
LY__513.0__2023,513.0,2023
LY__561.0__2023,561.0,2023
LY__557.0__2023,557.0,2023
LY__453.0__2023,453.0,2023
LY__517.0__2023,517.0,2023
LY__849.0__2023,849.0,2023
LY__525.0__2023,525.0,2023
LY__797.0__2023,797.0,2023
LY__801.0__2023,801.0,2023
LY__805.0__2023,805.0,2023
LY__853.0__2023,853.0,2023
LY__845.0__2023,845.0,2023
LY__841.0__2023,841.0,2023
LY__857.0__2023,857.0,2023
LY__861.0__2023,861.0,2023
LY__865.0__2023,865.0,2023
LY__869.0__2023,869.0,2023
LY__901.0__2023,901.0,2023
LY__893.0__2023,893.0,2023
LY__889.0__2023,889.0,2023
LY__521.0__2023,521.0,2023
LY__897.0__2023,897.0,2023
LY__1033.0__2023,1033.0,2023
LY__905.0__2023,905.0,2023
LY__1189.0__2023,1189.0,2023
LY__1157.0__2023,1157.0,2023
LY__1153.0__2023,1153.0,2023
LY__1149.0__2023,1149.0,2023
LY__1145.0__2023,1145.0,2023
LY__1129.0__2023,1129.0,2023
LY__1133.0__2023,1133.0,2023
LY__1137.0__2023,1137.0,2023
LY__1141.0__2023,1141.0,2023
LY__1185.0__2023,1185.0,2023
LY__1093.0__2023,1093.0,2023
LY__1085.0__2023,1085.0,2023
LY__1081.0__2023,1081.0,2023
LY__1029.0__2023,1029.0,2023
LY__1025.0__2023,1025.0,2023
LY__1021.0__2023,1021.0,2023
LY__1017.0__2023,1017.0,2023
LY__969.0__2023,969.0,2023
LY__973.0__2023,973.0,2023
LY__977.0__2023,977.0,2023
LY__1089.0__2023,1089.0,2023
LY__981.0__2023,981.0,2023
LY__1181.0__2023,1181.0,2023
LY__1193.0__2023,1193.0,2023
LY__1173.0__2023,1173.0,2023
LY__1165.0__2023,1165.0,2023
LY__1161.0__2023,1161.0,2023
LY__1113.0__2023,1113.0,2023
LY__1117.0__2023,1117.0,2023
LY__1121.0__2023,1121.0,2023
LY__1125.0__2023,1125.0,2023
LY__1177.0__2023,1177.0,2023
LY__1109.0__2023,1109.0,2023
LY__1101.0__2023,1101.0,2023
LY__1097.0__2023,1097.0,2023
LY__1221.0__2023,1221.0,2023
LY__1217.0__2023,1217.0,2023
LY__1213.0__2023,1213.0,2023
LY__1209.0__2023,1209.0,2023
LY__1205.0__2023,1205.0,2023
LY__1201.0__2023,1201.0,2023
LY__1197.0__2023,1197.0,2023
LY__1105.0__2023,1105.0,2023
LY__553.0__2023,553.0,2023
LY__965.0__2023,965.0,2023
LY__957.0__2023,957.0,2023
LY__941.0__2023,941.0,2023
LY__937.0__2023,937.0,2023
LY__885.0__2023,885.0,2023
LY__877.0__2023,877.0,2023
LY__873.0__2023,873.0,2023
LY__825.0__2023,825.0,2023
LY__829.0__2023,829.0,2023
LY__833.0__2023,833.0,2023
LY__837.0__2023,837.0,2023
LY__945.0__2023,945.0,2023
LY__821.0__2023,821.0,2023
LY__813.0__2023,813.0,2023
LY__809.0__2023,809.0,2023
LY__933.0__2023,933.0,2023
LY__929.0__2023,929.0,2023
LY__925.0__2023,925.0,2023
LY__921.0__2023,921.0,2023
LY__917.0__2023,917.0,2023
LY__913.0__2023,913.0,2023
LY__909.0__2023,909.0,2023
LY__817.0__2023,817.0,2023
LY__961.0__2023,961.0,2023
LY__949.0__2023,949.0,2023
LY__953.0__2023,953.0,2023
LY__1077.0__2023,1077.0,2023
LY__1073.0__2023,1073.0,2023
LY__1069.0__2023,1069.0,2023
LY__1065.0__2023,1065.0,2023
LY__1061.0__2023,1061.0,2023
LY__1057.0__2023,1057.0,2023
LY__1053.0__2023,1053.0,2023
LY__1049.0__2023,1049.0,2023
LY__1037.0__2023,1037.0,2023
LY__1045.0__2023,1045.0,2023
LY__1013.0__2023,1013.0,2023
LY__1009.0__2023,1009.0,2023
LY__1005.0__2023,1005.0,2023
LY__1001.0__2023,1001.0,2023
LY__985.0__2023,985.0,2023
LY__989.0__2023,989.0,2023
LY__993.0__2023,993.0,2023
LY__997.0__2023,997.0,2023
LY__1041.0__2023,1041.0,2023
LY__545.0__2023,545.0,2023
LY__313.0__2023,313.0,2023
LY__533.0__2023,533.0,2023
LY__529.0__2023,529.0,2023
LY__405.0__2023,405.0,2023
LY__413.0__2023,413.0,2023
LY__417.0__2023,417.0,2023
LY__421.0__2023,421.0,2023
