run_library_assignment_id,sequencing_run_id,library_preparation_id
RLA__seq230710_GW4I8__LP__DX__ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306__7F__1__7F__163.0__ITS,seq230710_GW4I8,LP__DX__ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306__7F__1__7F__163.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-24__1.0__3H__2021-01-09__1__3H__183.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-24__1.0__3H__2021-01-09__1__3H__183.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-23__1.0__3G__2021-01-09__1__3G__171.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-23__1.0__3G__2021-01-09__1__3G__171.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-22__1.0__3F__2021-01-09__1__3F__159.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-22__1.0__3F__2021-01-09__1__3F__159.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-21__1.0__3E__2021-01-09__1__3E__147.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-21__1.0__3E__2021-01-09__1__3E__147.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-20__1.0__3D__2021-01-09__1__3D__135.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-20__1.0__3D__2021-01-09__1__3D__135.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-19__1.0__3C__2021-01-09__1__3C__123.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-19__1.0__3C__2021-01-09__1__3C__123.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-18__1.0__3B__2021-01-09__1__3B__111.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-18__1.0__3B__2021-01-09__1__3B__111.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-17__1.0__3A__2021-01-09__1__3A__99.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-17__1.0__3A__2021-01-09__1__3A__99.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-16__1.0__2H__2021-01-09__1__2H__182.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-16__1.0__2H__2021-01-09__1__2H__182.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-15__1.0__2G__2021-01-09__1__2G__170.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-15__1.0__2G__2021-01-09__1__2G__170.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-14__1.0__2F__2021-01-09__1__2F__158.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-14__1.0__2F__2021-01-09__1__2F__158.0__ITS
RLA__seq230710_GW4I8__LP__DX__T-030620-w-13__1.0__2E__2021-01-09__1__2E__146.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-13__1.0__2E__2021-01-09__1__2E__146.0__ITS
