sampling_plot_id,location_year_id,scheme,grid_number,grid_point,distance,edge,block,plot,subplot,plot_label,x,y,spray_fungicide,fertiliser,cultivar,cultivar_alt,density,spray,fertilizer
SP__LY__2020__UNKNOWN,LY__2020,,,,,,,,,,,,,,,,,,
SP__LY__2020__26.0__middle,LY__2020,medium,26.0,middle,other,other,,,,,,,,,elixir,,,,
SP__LY__2020__25.0__middle,LY__2020,medium,25.0,middle,other,other,,,,,,,,,elixir,,,,
SP__LY__2020__24.0__middle,LY__2020,medium,24.0,middle,other,other,,,,,,,,,elixir,,,,
SP__LY__2020__23.0__middle,LY__2020,large,23.0,middle,cross,other,,,,,,,,,elixir,,,,
SP__LY__2020__22.0__middle,LY__2020,medium,22.0,middle,other,other,,,,,,,,,elixir,,,,
SP__LY__2020__21.0__middle,LY__2020,medium,21.0,middle,other,other,,,,,,,,,elixir,,,,
SP__LY__2020__20.0__middle,LY__2020,small,20.0,middle,other,other,,,,,,,,,elixir,,,,
SP__LY__2020__18.0__middle,LY__2020,small,18.0,middle,cross,other,,,,,,,,,elixir,,,,
SP__LY__2020__16.0__middle,LY__2020,medium,16.0,middle,diagonal,Center,,,,,,,,,elixir,,,,
SP__LY__2020__15.0__middle,LY__2020,large,15.0,middle,cross,other,,,,,,,,,elixir,,,,
SP__LY__2020__14.0__ext,LY__2020,large,14.0,ext,cross,right,,,,,,,,,elixir,,,,
SP__LY__2020__13.0__ext,LY__2020,large,13.0,ext,other,right,,,,,,,,,elixir,,,,
SP__LY__2020__12.0__middle,LY__2020,large,12.0,middle,diagonal,other,,,,,,,,,elixir,,,,
SP__LY__2020__11.0__middle,LY__2020,large,11.0,middle,cross,Center,,,,,,,,,elixir,,,,
SP__LY__2020__10.0__middle,LY__2020,medium,10.0,middle,other,other,,,,,,,,,elixir,,,,
SP__LY__2020__9.0__middle,LY__2020,medium,9.0,middle,other,other,,,,,,,,,elixir,,,,
SP__LY__2020__8.0__middle,LY__2020,medium,8.0,middle,other,other,,,,,,,,,elixir,,,,
SP__LY__2020__7.0__middle,LY__2020,large,7.0,middle,diagonal,other,,,,,,,,,elixir,,,,
SP__LY__2020__6.0__ext,LY__2020,large,6.0,ext,other,left,,,,,,,,,elixir,,,,
SP__LY__2020__5.0__ext,LY__2020,large,5.0,ext,diagonal,left,,,,,,,,,elixir,,,,
SP__LY__2020__4.0__ext,LY__2020,large,4.0,ext,other,other,,,,,,,,,elixir,,,,
SP__LY__2020__3.0__ext,LY__2020,large,3.0,ext,cross,Center,,,,,,,,,elixir,,,,
SP__LY__2020__2.0__ext,LY__2020,large,2.0,ext,other,other,,,,,,,,,elixir,,,,
SP__LY__2020__27.0__middle,LY__2020,medium,27.0,middle,other,other,,,,,,,,,elixir,,,,
SP__LY__2020__28.0__middle,LY__2020,medium,28.0,middle,other,other,,,,,,,,,elixir,,,,
SP__LY__2020__29.0__middle,LY__2020,medium,29.0,middle,other,other,,,,,,,,,elixir,,,,
SP__LY__2020__30.0__middle,LY__2020,medium,30.0,middle,other,Center,,,,,,,,,elixir,,,,
SP__LY__2020__67.0__ext,LY__2020,large,67.0,ext,diagonal,left,,,,,,,,,elixir,,,,
SP__LY__2020__66.0__ext,LY__2020,large,66.0,ext,other,other,,,,,,,,,elixir,,,,
SP__LY__2020__65.0__ext,LY__2020,large,65.0,ext,cross,Center,,,,,,,,,elixir,,,,
SP__LY__2020__64.0__ext,LY__2020,large,64.0,ext,other,other,,,,,,,,,elixir,,,,
SP__LY__2020__63.0__ext,LY__2020,large,63.0,ext,diagonal,right,,,,,,,,,elixir,,,,
SP__LY__2020__62.0__ext,LY__2020,large,62.0,ext,other,right,,,,,,,,,elixir,,,,
SP__LY__2020__61.0__middle,LY__2020,large,61.0,middle,diagonal,other,,,,,,,,,elixir,,,,
SP__LY__2020__60.0__middle,LY__2020,large,60.0,middle,cross,Center,,,,,,,,,elixir,,,,
SP__LY__2020__59.0__middle,LY__2020,large,59.0,middle,diagonal,other,,,,,,,,,elixir,,,,
SP__LY__2020__1.0__ext,LY__2020,large,1.0,ext,diagonal,right,,,,,,,,,elixir,,,,
SP__LY__2020__58.0__ext,LY__2020,large,58.0,ext,other,left,,,,,,,,,elixir,,,,
SP__LY__2020__51.0__middle,LY__2020,small,51.0,middle,other,other,,,,,,,,,elixir,,,,
SP__LY__2020__49.0__middle,LY__2020,small,49.0,middle,other,other,,,,,,,,,elixir,,,,
