sequence_file_id,run_library_assignment_id,sequencing_run_id,library_preparation_id,seq_sample_id,current_seq_sample_id,correct_seq_sample_id,suggested_correct_seq_sample_id,suggested_equals_correct,already_correct,forward_fq,reverse_fq,corrected_forward_fq,corrected_reverse_fq,note
SF__RLA__seq230710_GW4I8__LP__DX__ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306__7F__1__7F__163.0__ITS__T-2020-ITS-c-pos,RLA__seq230710_GW4I8__LP__DX__ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306__7F__1__7F__163.0__ITS,seq230710_GW4I8,LP__DX__ZymoBIOMICS-Microbial-Community-DNA-Standard-D6306__7F__1__7F__163.0__ITS,T-2020-ITS-c-pos,T-2020-ITS-c-pos,T-000020-ITS-w-P1-pos,T-000020-ITS-w-P1-pos,True,False,T-2020-ITS-c-pos_S54_L001_R1_001.fastq.gz,T-2020-ITS-c-pos_S54_L001_R2_001.fastq.gz,T-000020-ITS-w-P1-pos_S54_L001_R1_001.fastq.gz,T-000020-ITS-w-P1-pos_S54_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-24__1.0__3H__2021-01-09__1__3H__183.0__ITS__T-2020-ITS-c-24,RLA__seq230710_GW4I8__LP__DX__T-030620-w-24__1.0__3H__2021-01-09__1__3H__183.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-24__1.0__3H__2021-01-09__1__3H__183.0__ITS,T-2020-ITS-c-24,T-2020-ITS-c-24,T-030620-ITS-w-24,T-030620-ITS-w-24,True,False,T-2020-ITS-c-24_S24_L001_R1_001.fastq.gz,T-2020-ITS-c-24_S24_L001_R2_001.fastq.gz,T-030620-ITS-w-24_S24_L001_R1_001.fastq.gz,T-030620-ITS-w-24_S24_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-23__1.0__3G__2021-01-09__1__3G__171.0__ITS__T-2020-ITS-c-23,RLA__seq230710_GW4I8__LP__DX__T-030620-w-23__1.0__3G__2021-01-09__1__3G__171.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-23__1.0__3G__2021-01-09__1__3G__171.0__ITS,T-2020-ITS-c-23,T-2020-ITS-c-23,T-030620-ITS-w-23,T-030620-ITS-w-23,True,False,T-2020-ITS-c-23_S23_L001_R1_001.fastq.gz,T-2020-ITS-c-23_S23_L001_R2_001.fastq.gz,T-030620-ITS-w-23_S23_L001_R1_001.fastq.gz,T-030620-ITS-w-23_S23_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-22__1.0__3F__2021-01-09__1__3F__159.0__ITS__T-2020-ITS-c-22,RLA__seq230710_GW4I8__LP__DX__T-030620-w-22__1.0__3F__2021-01-09__1__3F__159.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-22__1.0__3F__2021-01-09__1__3F__159.0__ITS,T-2020-ITS-c-22,T-2020-ITS-c-22,T-030620-ITS-w-22,T-030620-ITS-w-22,True,False,T-2020-ITS-c-22_S22_L001_R1_001.fastq.gz,T-2020-ITS-c-22_S22_L001_R2_001.fastq.gz,T-030620-ITS-w-22_S22_L001_R1_001.fastq.gz,T-030620-ITS-w-22_S22_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-21__1.0__3E__2021-01-09__1__3E__147.0__ITS__T-2020-ITS-c-21,RLA__seq230710_GW4I8__LP__DX__T-030620-w-21__1.0__3E__2021-01-09__1__3E__147.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-21__1.0__3E__2021-01-09__1__3E__147.0__ITS,T-2020-ITS-c-21,T-2020-ITS-c-21,T-030620-ITS-w-21,T-030620-ITS-w-21,True,False,T-2020-ITS-c-21_S21_L001_R1_001.fastq.gz,T-2020-ITS-c-21_S21_L001_R2_001.fastq.gz,T-030620-ITS-w-21_S21_L001_R1_001.fastq.gz,T-030620-ITS-w-21_S21_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-20__1.0__3D__2021-01-09__1__3D__135.0__ITS__T-2020-ITS-c-20,RLA__seq230710_GW4I8__LP__DX__T-030620-w-20__1.0__3D__2021-01-09__1__3D__135.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-20__1.0__3D__2021-01-09__1__3D__135.0__ITS,T-2020-ITS-c-20,T-2020-ITS-c-20,T-030620-ITS-w-20,T-030620-ITS-w-20,True,False,T-2020-ITS-c-20_S20_L001_R1_001.fastq.gz,T-2020-ITS-c-20_S20_L001_R2_001.fastq.gz,T-030620-ITS-w-20_S20_L001_R1_001.fastq.gz,T-030620-ITS-w-20_S20_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-19__1.0__3C__2021-01-09__1__3C__123.0__ITS__T-2020-ITS-c-19,RLA__seq230710_GW4I8__LP__DX__T-030620-w-19__1.0__3C__2021-01-09__1__3C__123.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-19__1.0__3C__2021-01-09__1__3C__123.0__ITS,T-2020-ITS-c-19,T-2020-ITS-c-19,T-030620-ITS-w-19,T-030620-ITS-w-19,True,False,T-2020-ITS-c-19_S19_L001_R1_001.fastq.gz,T-2020-ITS-c-19_S19_L001_R2_001.fastq.gz,T-030620-ITS-w-19_S19_L001_R1_001.fastq.gz,T-030620-ITS-w-19_S19_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-18__1.0__3B__2021-01-09__1__3B__111.0__ITS__T-2020-ITS-c-18,RLA__seq230710_GW4I8__LP__DX__T-030620-w-18__1.0__3B__2021-01-09__1__3B__111.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-18__1.0__3B__2021-01-09__1__3B__111.0__ITS,T-2020-ITS-c-18,T-2020-ITS-c-18,T-030620-ITS-w-18,T-030620-ITS-w-18,True,False,T-2020-ITS-c-18_S18_L001_R1_001.fastq.gz,T-2020-ITS-c-18_S18_L001_R2_001.fastq.gz,T-030620-ITS-w-18_S18_L001_R1_001.fastq.gz,T-030620-ITS-w-18_S18_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-17__1.0__3A__2021-01-09__1__3A__99.0__ITS__T-2020-ITS-c-17,RLA__seq230710_GW4I8__LP__DX__T-030620-w-17__1.0__3A__2021-01-09__1__3A__99.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-17__1.0__3A__2021-01-09__1__3A__99.0__ITS,T-2020-ITS-c-17,T-2020-ITS-c-17,T-030620-ITS-w-17,T-030620-ITS-w-17,True,False,T-2020-ITS-c-17_S17_L001_R1_001.fastq.gz,T-2020-ITS-c-17_S17_L001_R2_001.fastq.gz,T-030620-ITS-w-17_S17_L001_R1_001.fastq.gz,T-030620-ITS-w-17_S17_L001_R2_001.fastq.gz,
SF__RLA__seq230710_GW4I8__LP__DX__T-030620-w-16__1.0__2H__2021-01-09__1__2H__182.0__ITS__T-2020-ITS-c-16,RLA__seq230710_GW4I8__LP__DX__T-030620-w-16__1.0__2H__2021-01-09__1__2H__182.0__ITS,seq230710_GW4I8,LP__DX__T-030620-w-16__1.0__2H__2021-01-09__1__2H__182.0__ITS,T-2020-ITS-c-16,T-2020-ITS-c-16,T-030620-ITS-w-16,T-030620-ITS-w-16,True,False,T-2020-ITS-c-16_S16_L001_R1_001.fastq.gz,T-2020-ITS-c-16_S16_L001_R2_001.fastq.gz,T-030620-ITS-w-16_S16_L001_R1_001.fastq.gz,T-030620-ITS-w-16_S16_L001_R2_001.fastq.gz,
