sequencing_run_id,run_number,dir_name,full_path
seq230710_GW4I8,,seq230710_GW4I8,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230710_GW4I8
seq230714_FWU63,,seq230714_FWU63,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230714_FWU63
seq231107_RISO1,,seq231107_RISO1,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq231107_RISO1
seq230526_JRV78,,seq230526_JRV78,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230526_JRV78
seq230707_DWDQH,,seq230707_DWDQH,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230707_DWDQH
seq231206_RISO2,2.0,seq231206_RISO2,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq231206_RISO2
seq240209_KSVAZ,3.0,seq240209_KSVAZ,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240209_KSVAZ
seq240222_RQS8X,5.0,seq240222_RQS8X,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240222_RQS8X
seq240412_BRLUV,6.0,seq240412_BRLUV,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240412_BRLUV
seq240424_T6U6R,7.0,seq240424_T6U6R,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240424_T6U6R
seq240508_LNERQ,4.0,seq240508_LNERQ,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240508_LNERQ
seq231107_RISO1,1.0,seq231107_RISO1,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq231107_RISO1
seq230315_PF2CP,,seq230315_PF2CP,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230315_PF2CP
seq230526_LQJXR,,seq230526_LQJXR,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq230526_LQJXR
seq240710_DR8PG,,seq240710_DR8PG,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240710_DR8PG
seq240719_NR8NI,,seq240719_NR8NI,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240719_NR8NI
seq240820_C6WGP,,seq240820_C6WGP,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240820_C6WGP
seq240826_X6DU5,,seq240826_X6DU5,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240826_X6DU5
seq240515_E8KTD,,seq240515_E8KTD,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240515_E8KTD
seq240222_RQS8X,,seq240222_RQS8X,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240222_RQS8X
seq240508_LNERQ,,seq240508_LNERQ,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240508_LNERQ
seq231206_RISO2,,seq231206_RISO2,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq231206_RISO2
seq240209_KSVAZ,,seq240209_KSVAZ,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240209_KSVAZ
seq240412_BRLUV,,seq240412_BRLUV,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240412_BRLUV
seq240424_T6U6R,,seq240424_T6U6R,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq240424_T6U6R
