bio_sample_ID,plot,letter,cultivar,spray,washed_date,DNA_plate_number,DNA_ext_date,Days_between_DNA_x,DNA_conc_individual,DNA_conc_plate,amplicon,lib_plate_number,plate_position,PCR1_date,PCR2_date,lib_DNA_conc,index_set,S5_index,N7_index,index_pair,seq_sample_ID,run_number,run_ID,note,YEAR,LEAF_PROTOCOL,LIBRARY_PREPARATION,Unnamed: 0,dir_name,full_path,forward_fq,reverse_fq,corrected_forward_fq,corrected_reverse_fq,current_seq_sample_ID,correct_seq_sample_ID,suggested_correct_seq_sample_ID,SUGGESTED_EQUALS_CORRECT,ALREADY_CORRECT,location,sample_date,LY,SP,LY_SP,SP_sample_number,SP_plot,SP_id_on_field_2022,SP_cultivar,SP_spray,SP_fertilizer,SP_lane,SP_parcel,SP_location,triplicate,BS,EX,LP,LY_SP_BS,LY_SP_BS_EX,LY_SP_BS_EX_LP
S-240622-w-17-4,17.0,B16,rembrandt,y,2023-02-27,5.0,2023-03-01,2.0,,0.22014764199658687,ITS,5.0,3H,,2023-08-29 00:00:00,24.945883282492243,1,S508,N703,87.0,S-240622-ITS-w-17-4,2.0,seq231206_RISO2,,2022,WASHED,amplicon,5.0,seq231206_RISO2,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq231206_RISO2,Washed_S-240622-ITS-w-17-4_S24_L001_R1_001.fastq.gz,Washed_S-240622-ITS-w-17-4_S24_L001_R2_001.fastq.gz,S-240622-ITS-w-17-4_S24_L001_R1_001.fastq.gz,S-240622-ITS-w-17-4_S24_L001_R2_001.fastq.gz,Washed_S-240622-ITS-w-17-4,,S-240622-ITS-w-17-4,False,False,S,240622,LY_S_2022,SP_017,LY_S_2022__SP_017,17.0,17.0,B16,Rembrandt,True,,6.0,30.0,S,4,BS_240622_W_4,EX_230301,LP_230829_ITS,LY_S_2022__SP_017__BS_240622_W_4,LY_S_2022__SP_017__BS_240622_W_4__EX_230301,LY_S_2022__SP_017__BS_240622_W_4__EX_230301__LP_230829_ITS
S-240622-w-15-7,15.0,A16,rembrandt,n,2023-02-27,5.0,2023-02-28,1.0,,0.11181560280076816,ITS,5.0,2E,,2023-08-29 00:00:00,20.559216001484998,1,S505,N702,50.0,S-240622-ITS-w-15-7,2.0,seq231206_RISO2,,2022,WASHED,amplicon,5.0,seq231206_RISO2,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq231206_RISO2,Washed_S-240622-ITS-w-15-7_S13_L001_R1_001.fastq.gz,Washed_S-240622-ITS-w-15-7_S13_L001_R2_001.fastq.gz,S-240622-ITS-w-15-7_S13_L001_R1_001.fastq.gz,S-240622-ITS-w-15-7_S13_L001_R2_001.fastq.gz,Washed_S-240622-ITS-w-15-7,,S-240622-ITS-w-15-7,False,False,S,240622,LY_S_2022,SP_015,LY_S_2022__SP_015,15.0,15.0,A16,Rembrandt,False,,5.0,47.0,S,7,BS_240622_W_7,EX_230228,LP_230829_ITS,LY_S_2022__SP_015__BS_240622_W_7,LY_S_2022__SP_015__BS_240622_W_7__EX_230228,LY_S_2022__SP_015__BS_240622_W_7__EX_230228__LP_230829_ITS
S-240622-w-19-7,19.0,B16,rembrandt,y,2023-03-02,5.0,2023-03-03,1.0,,0.5054858701398772,ITS,5.0,6A,,2023-08-29 00:00:00,19.224392083913045,1,S501,N706,6.0,S-240622-ITS-w-19-7,2.0,seq231206_RISO2,,2022,WASHED,amplicon,5.0,seq231206_RISO2,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq231206_RISO2,Washed_S-240622-ITS-w-19-7_S38_L001_R1_001.fastq.gz,Washed_S-240622-ITS-w-19-7_S38_L001_R2_001.fastq.gz,S-240622-ITS-w-19-7_S38_L001_R1_001.fastq.gz,S-240622-ITS-w-19-7_S38_L001_R2_001.fastq.gz,Washed_S-240622-ITS-w-19-7,,S-240622-ITS-w-19-7,False,False,S,240622,LY_S_2022,SP_019,LY_S_2022__SP_019,19.0,19.0,B16,Rembrandt,True,,7.0,13.0,S,7,BS_240622_W_7,EX_230303,LP_230829_ITS,LY_S_2022__SP_019__BS_240622_W_7,LY_S_2022__SP_019__BS_240622_W_7__EX_230303,LY_S_2022__SP_019__BS_240622_W_7__EX_230303__LP_230829_ITS
S-240622-w-19-6,19.0,B16,rembrandt,y,2023-03-02,5.0,2023-03-03,1.0,,0.14953228597299198,ITS,5.0,5H,,2023-08-29 00:00:00,22.523169494727657,1,S508,N705,89.0,S-240622-ITS-w-19-6,2.0,seq231206_RISO2,,2022,WASHED,amplicon,5.0,seq231206_RISO2,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq231206_RISO2,Washed_S-240622-ITS-w-19-6_S37_L001_R1_001.fastq.gz,Washed_S-240622-ITS-w-19-6_S37_L001_R2_001.fastq.gz,S-240622-ITS-w-19-6_S37_L001_R1_001.fastq.gz,S-240622-ITS-w-19-6_S37_L001_R2_001.fastq.gz,Washed_S-240622-ITS-w-19-6,,S-240622-ITS-w-19-6,False,False,S,240622,LY_S_2022,SP_019,LY_S_2022__SP_019,19.0,19.0,B16,Rembrandt,True,,7.0,13.0,S,6,BS_240622_W_6,EX_230303,LP_230829_ITS,LY_S_2022__SP_019__BS_240622_W_6,LY_S_2022__SP_019__BS_240622_W_6__EX_230303,LY_S_2022__SP_019__BS_240622_W_6__EX_230303__LP_230829_ITS
S-240622-w-19-4,19.0,B16,rembrandt,y,2023-03-02,5.0,2023-03-03,1.0,,0.44221951796984194,ITS,5.0,5F,,2023-08-29 00:00:00,20.738105951262657,1,S506,N705,65.0,S-240622-ITS-w-19-4,2.0,seq231206_RISO2,,2022,WASHED,amplicon,5.0,seq231206_RISO2,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq231206_RISO2,Washed_S-240622-ITS-w-19-4_S36_L001_R1_001.fastq.gz,Washed_S-240622-ITS-w-19-4_S36_L001_R2_001.fastq.gz,S-240622-ITS-w-19-4_S36_L001_R1_001.fastq.gz,S-240622-ITS-w-19-4_S36_L001_R2_001.fastq.gz,Washed_S-240622-ITS-w-19-4,,S-240622-ITS-w-19-4,False,False,S,240622,LY_S_2022,SP_019,LY_S_2022__SP_019,19.0,19.0,B16,Rembrandt,True,,7.0,13.0,S,4,BS_240622_W_4,EX_230303,LP_230829_ITS,LY_S_2022__SP_019__BS_240622_W_4,LY_S_2022__SP_019__BS_240622_W_4__EX_230303,LY_S_2022__SP_019__BS_240622_W_4__EX_230303__LP_230829_ITS
S-240622-w-16-1,16.0,B5,kvium,y,2023-02-27,5.0,2023-02-28,1.0,,0.23342209843761536,ITS,5.0,2F,,2023-08-29 00:00:00,21.594537865608885,1,S506,N702,62.0,S-240622-ITS-w-16-1,2.0,seq231206_RISO2,,2022,WASHED,amplicon,5.0,seq231206_RISO2,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq231206_RISO2,Washed_S-240622-ITS-w-16-1_S14_L001_R1_001.fastq.gz,Washed_S-240622-ITS-w-16-1_S14_L001_R2_001.fastq.gz,S-240622-ITS-w-16-1_S14_L001_R1_001.fastq.gz,S-240622-ITS-w-16-1_S14_L001_R2_001.fastq.gz,Washed_S-240622-ITS-w-16-1,,S-240622-ITS-w-16-1,False,False,S,240622,LY_S_2022,SP_016,LY_S_2022__SP_016,16.0,16.0,B5,Kvium,True,,6.0,28.0,S,1,BS_240622_W_1,EX_230228,LP_230829_ITS,LY_S_2022__SP_016__BS_240622_W_1,LY_S_2022__SP_016__BS_240622_W_1__EX_230228,LY_S_2022__SP_016__BS_240622_W_1__EX_230228__LP_230829_ITS
S-240622-w-16-2,16.0,B5,kvium,y,2023-02-27,5.0,2023-02-28,1.0,,0.1091658032011446,ITS,5.0,2G,,2023-08-29 00:00:00,18.302407237696233,1,S507,N702,74.0,S-240622-ITS-w-16-2,2.0,seq231206_RISO2,,2022,WASHED,amplicon,5.0,seq231206_RISO2,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq231206_RISO2,Washed_S-240622-ITS-w-16-2_S15_L001_R1_001.fastq.gz,Washed_S-240622-ITS-w-16-2_S15_L001_R2_001.fastq.gz,S-240622-ITS-w-16-2_S15_L001_R1_001.fastq.gz,S-240622-ITS-w-16-2_S15_L001_R2_001.fastq.gz,Washed_S-240622-ITS-w-16-2,,S-240622-ITS-w-16-2,False,False,S,240622,LY_S_2022,SP_016,LY_S_2022__SP_016,16.0,16.0,B5,Kvium,True,,6.0,28.0,S,2,BS_240622_W_2,EX_230228,LP_230829_ITS,LY_S_2022__SP_016__BS_240622_W_2,LY_S_2022__SP_016__BS_240622_W_2__EX_230228,LY_S_2022__SP_016__BS_240622_W_2__EX_230228__LP_230829_ITS
S-240622-w-16-3,16.0,B5,kvium,y,2023-02-27,5.0,2023-02-28,1.0,,0.050503186124130274,ITS,5.0,2H,,2023-08-29 00:00:00,20.126127941421892,1,S508,N702,86.0,S-240622-ITS-w-16-3,2.0,seq231206_RISO2,,2022,WASHED,amplicon,5.0,seq231206_RISO2,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq231206_RISO2,Washed_S-240622-ITS-w-16-3_S16_L001_R1_001.fastq.gz,Washed_S-240622-ITS-w-16-3_S16_L001_R2_001.fastq.gz,S-240622-ITS-w-16-3_S16_L001_R1_001.fastq.gz,S-240622-ITS-w-16-3_S16_L001_R2_001.fastq.gz,Washed_S-240622-ITS-w-16-3,,S-240622-ITS-w-16-3,False,False,S,240622,LY_S_2022,SP_016,LY_S_2022__SP_016,16.0,16.0,B5,Kvium,True,,6.0,28.0,S,3,BS_240622_W_3,EX_230228,LP_230829_ITS,LY_S_2022__SP_016__BS_240622_W_3,LY_S_2022__SP_016__BS_240622_W_3__EX_230228,LY_S_2022__SP_016__BS_240622_W_3__EX_230228__LP_230829_ITS
S-240622-w-19-3,19.0,B16,rembrandt,y,2023-03-02,5.0,2023-03-03,1.0,,1.2741590015538136,ITS,5.0,5E,,2023-08-29 00:00:00,22.643770575540852,1,S505,N705,53.0,S-240622-ITS-w-19-3,2.0,seq231206_RISO2,,2022,WASHED,amplicon,5.0,seq231206_RISO2,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq231206_RISO2,Washed_S-240622-ITS-w-19-3_S35_L001_R1_001.fastq.gz,Washed_S-240622-ITS-w-19-3_S35_L001_R2_001.fastq.gz,S-240622-ITS-w-19-3_S35_L001_R1_001.fastq.gz,S-240622-ITS-w-19-3_S35_L001_R2_001.fastq.gz,Washed_S-240622-ITS-w-19-3,,S-240622-ITS-w-19-3,False,False,S,240622,LY_S_2022,SP_019,LY_S_2022__SP_019,19.0,19.0,B16,Rembrandt,True,,7.0,13.0,S,3,BS_240622_W_3,EX_230303,LP_230829_ITS,LY_S_2022__SP_019__BS_240622_W_3,LY_S_2022__SP_019__BS_240622_W_3__EX_230303,LY_S_2022__SP_019__BS_240622_W_3__EX_230303__LP_230829_ITS
S-240622-w-19-1,19.0,B16,rembrandt,y,2023-02-27,5.0,2023-03-01,2.0,,0.024575883556476587,ITS,5.0,5C,,2023-08-29 00:00:00,15.06825683874596,1,S503,N705,29.0,S-240622-ITS-w-19-1,2.0,seq231206_RISO2,DNA_input_below_100pg,2022,WASHED,amplicon,5.0,seq231206_RISO2,/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq231206_RISO2,Washed_S-240622-ITS-w-19-1_S34_L001_R1_001.fastq.gz,Washed_S-240622-ITS-w-19-1_S34_L001_R2_001.fastq.gz,S-240622-ITS-w-19-1_S34_L001_R1_001.fastq.gz,S-240622-ITS-w-19-1_S34_L001_R2_001.fastq.gz,Washed_S-240622-ITS-w-19-1,,S-240622-ITS-w-19-1,False,False,S,240622,LY_S_2022,SP_019,LY_S_2022__SP_019,19.0,19.0,B16,Rembrandt,True,,7.0,13.0,S,1,BS_240622_W_1,EX_230301,LP_230829_ITS,LY_S_2022__SP_019__BS_240622_W_1,LY_S_2022__SP_019__BS_240622_W_1__EX_230301,LY_S_2022__SP_019__BS_240622_W_1__EX_230301__LP_230829_ITS
