Path,Reads,read_name
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/MATRIX_meta_test_4A_shotgun_S44_L001_R1_001.fastq.gz,1005129,MATRIX_meta_test_4A_shotgun_S44_L001_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/MATRIX_meta_test_4A_shotgun_S44_L001_R2_001.fastq.gz,1005129,MATRIX_meta_test_4A_shotgun_S44_L001_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/MATRIX_meta_test_4E_shotgun_S45_L001_R1_001.fastq.gz,56014,MATRIX_meta_test_4E_shotgun_S45_L001_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/MATRIX_meta_test_4E_shotgun_S45_L001_R2_001.fastq.gz,56014,MATRIX_meta_test_4E_shotgun_S45_L001_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/MATRIX_meta_test_4G_shotgun_S46_L001_R1_001.fastq.gz,743469,MATRIX_meta_test_4G_shotgun_S46_L001_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/MATRIX_meta_test_4G_shotgun_S46_L001_R2_001.fastq.gz,743469,MATRIX_meta_test_4G_shotgun_S46_L001_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/R-070722-s-4H_shotgun_S47_L001_R1_001.fastq.gz,574776,R-070722-s-4H_shotgun_S47_L001_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/R-070722-s-4H_shotgun_S47_L001_R2_001.fastq.gz,574776,R-070722-s-4H_shotgun_S47_L001_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/R-140722-s-4I_shotgun_S48_L001_R1_001.fastq.gz,730632,R-140722-s-4I_shotgun_S48_L001_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/R-140722-s-4I_shotgun_S48_L001_R2_001.fastq.gz,730632,R-140722-s-4I_shotgun_S48_L001_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1A_16S_P4_crushed_S17_R1_001.fastq.gz,1560,_1A_16S_P4_crushed_S17_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1A_16S_P4_crushed_S17_R2_001.fastq.gz,1560,_1A_16S_P4_crushed_S17_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1A_16S_P4_crushed_newP_S25_R1_001.fastq.gz,3394,_1A_16S_P4_crushed_newP_S25_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1A_16S_P4_crushed_newP_S25_R2_001.fastq.gz,3394,_1A_16S_P4_crushed_newP_S25_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1A_ITS_P1_crushed_S21_R1_001.fastq.gz,1443,_1A_ITS_P1_crushed_S21_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1A_ITS_P1_crushed_S21_R2_001.fastq.gz,1443,_1A_ITS_P1_crushed_S21_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1A_ITS_P1_crushed_newP_S29_R1_001.fastq.gz,4358,_1A_ITS_P1_crushed_newP_S29_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1A_ITS_P1_crushed_newP_S29_R2_001.fastq.gz,4358,_1A_ITS_P1_crushed_newP_S29_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1B_16S_P4_crushed_S18_R1_001.fastq.gz,1749,_1B_16S_P4_crushed_S18_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1B_16S_P4_crushed_S18_R2_001.fastq.gz,1749,_1B_16S_P4_crushed_S18_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1B_16S_P4_crushed_newP_S26_R1_001.fastq.gz,1022,_1B_16S_P4_crushed_newP_S26_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1B_16S_P4_crushed_newP_S26_R2_001.fastq.gz,1022,_1B_16S_P4_crushed_newP_S26_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1B_ITS_P1_crushed_S22_R1_001.fastq.gz,1520,_1B_ITS_P1_crushed_S22_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1B_ITS_P1_crushed_S22_R2_001.fastq.gz,1520,_1B_ITS_P1_crushed_S22_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1B_ITS_P1_crushed_newP_S30_R1_001.fastq.gz,12534,_1B_ITS_P1_crushed_newP_S30_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1B_ITS_P1_crushed_newP_S30_R2_001.fastq.gz,12534,_1B_ITS_P1_crushed_newP_S30_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1C_16S_P4_crushed_S19_R1_001.fastq.gz,2056,_1C_16S_P4_crushed_S19_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1C_16S_P4_crushed_S19_R2_001.fastq.gz,2056,_1C_16S_P4_crushed_S19_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1C_16S_P4_crushed_newP_S27_R1_001.fastq.gz,1947,_1C_16S_P4_crushed_newP_S27_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1C_16S_P4_crushed_newP_S27_R2_001.fastq.gz,1947,_1C_16S_P4_crushed_newP_S27_R2_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1C_ITS_P1_crushed_S23_R1_001.fastq.gz,1617,_1C_ITS_P1_crushed_S23_R1_001.fastq.gz
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1C_ITS_P1_crushed_S23_R2_001.fastq.gz,1617,_1C_ITS_P1_crushed_S23_R2_001.fastq.gz
