metadata_index,source,bio_sample_ID,seq_sample_ID,matched_on,matched_value,read_name,Reads
3575,2022_washed_amplicon,R-210622-w-7-1,R-210622-ITS-w-7-1,bio_sample_ID,R-210622-w-7-1,R-210622-w-7-1_S152_L001_R1_001.fastq.gz,38347
3575,2022_washed_amplicon,R-210622-w-7-1,R-210622-ITS-w-7-1,bio_sample_ID,R-210622-w-7-1,R-210622-w-7-1_S152_L001_R2_001.fastq.gz,38347
3577,2022_washed_amplicon,R-210622-w-7-7,R-210622-ITS-w-7-7,bio_sample_ID,R-210622-w-7-7,R-210622-w-7-7_S154_L001_R1_001.fastq.gz,27824
3577,2022_washed_amplicon,R-210622-w-7-7,R-210622-ITS-w-7-7,bio_sample_ID,R-210622-w-7-7,R-210622-w-7-7_S154_L001_R2_001.fastq.gz,27824
3578,2022_washed_amplicon,R-210622-w-8-1,R-210622-ITS-w-8-1,bio_sample_ID,R-210622-w-8-1,R-210622-w-8-1_S155_L001_R1_001.fastq.gz,41620
3578,2022_washed_amplicon,R-210622-w-8-1,R-210622-ITS-w-8-1,bio_sample_ID,R-210622-w-8-1,R-210622-w-8-1_S155_L001_R2_001.fastq.gz,41620
3579,2022_washed_amplicon,R-210622-w-8-2,R-210622-ITS-w-8-2,bio_sample_ID,R-210622-w-8-2,R-210622-w-8-2_S156_L001_R1_001.fastq.gz,42084
3579,2022_washed_amplicon,R-210622-w-8-2,R-210622-ITS-w-8-2,bio_sample_ID,R-210622-w-8-2,R-210622-w-8-2_S156_L001_R2_001.fastq.gz,42084
3581,2022_washed_amplicon,R-210622-w-9-1,R-210622-ITS-w-9-1,bio_sample_ID,R-210622-w-9-1,R-210622-w-9-1_S158_L001_R1_001.fastq.gz,57440
3581,2022_washed_amplicon,R-210622-w-9-1,R-210622-ITS-w-9-1,bio_sample_ID,R-210622-w-9-1,R-210622-w-9-1_S158_L001_R2_001.fastq.gz,57440
3582,2022_washed_amplicon,R-210622-w-9-2,R-210622-ITS-w-9-2,bio_sample_ID,R-210622-w-9-2,R-210622-w-9-2_S159_L001_R1_001.fastq.gz,36200
3582,2022_washed_amplicon,R-210622-w-9-2,R-210622-ITS-w-9-2,bio_sample_ID,R-210622-w-9-2,R-210622-w-9-2_S159_L001_R2_001.fastq.gz,36200
