sampling_plot_id,location_year_id,scheme_2020,plot,grid_point_2020,distance_2020,edge_2020,block_2022,plot_label,subplot,x,y,letter,spray_fungicide,fertiliser,fertilizer,cultivar,density,spray
SP__LY__A__2022__001,LY__A__2022,,1,,,,1.0,,,,,,n,n,,Rembrandt,,
SP__LY__A__2022__001,LY__A__2022,,1,,,,,,,,,A16,,,,Rembrandt,,n
SP__LY__A__2022__002,LY__A__2022,,2,,,,1.0,,,,,,n,n,,Heerup,,
SP__LY__A__2022__002,LY__A__2022,,2,,,,,,,,,A7,,,,Heerup,,n
SP__LY__A__2022__003,LY__A__2022,,3,,,,1.0,,,,,,n,n,,Kvium,,
SP__LY__A__2022__003,LY__A__2022,,3,,,,,,,,,A5,,,,Kvuim,,n
SP__LY__A__2022__004,LY__A__2022,,4,,,,1.0,,,,,,y,n,,Rembrandt,,
SP__LY__A__2022__004,LY__A__2022,,4,,,,,,,,,B16,,,,Rembrandt,,y
SP__LY__A__2022__005,LY__A__2022,,5,,,,1.0,,,,,,y,n,,Kvium,,
SP__LY__A__2022__005,LY__A__2022,,5,,,,,,,,,B5,,,,Kvuim,,y
SP__LY__A__2022__006,LY__A__2022,,6,,,,1.0,,,,,,y,n,,Heerup,,
SP__LY__A__2022__006,LY__A__2022,,6,,,,,,,,,B7,,,,Heerup,,y
SP__LY__A__2022__006,LY__A__2022,,6,,,,,,,,,B7,,,,Heerup,,n
SP__LY__A__2022__007,LY__A__2022,,7,,,,2.0,,,,,,y,n,,Heerup,,
SP__LY__A__2022__007,LY__A__2022,,7,,,,,,,,,B7,,,,Heerup,,y
SP__LY__A__2022__007,LY__A__2022,,7,,,,,,,,,B7 ,,,,Heerup,,n
SP__LY__A__2022__008,LY__A__2022,,8,,,,2.0,,,,,,y,n,,Rembrandt,,
SP__LY__A__2022__008,LY__A__2022,,8,,,,,,,,,B16,,,,Rembrandt,,n
SP__LY__A__2022__008,LY__A__2022,,8,,,,,,,,,B16,,,,Rembrandt,,y
SP__LY__A__2022__009,LY__A__2022,,9,,,,2.0,,,,,,y,n,,Kvium,,
