Path	Reads
./seq230707_DWDQH/H-200622-16S-c-15-3_S105_L001_R2_001.fastq.gz	19381
./seq230707_DWDQH/H-200622-16S-c-17-2_S116_L001_R1_001.fastq.gz	22360
./seq230707_DWDQH/H-200622-16S-c-17-5_S119_L001_R1_001.fastq.gz	21283
./seq230707_DWDQH/H-200622-16S-c-22-5_S154_L001_R1_001.fastq.gz	21011
./seq230707_DWDQH/H-200622-16S-c-18-3_S124_L001_R1_001.fastq.gz	24922
./seq230707_DWDQH/R-160622-16S-c-9_S9_L001_R1_001.fastq.gz	22241
./seq230707_DWDQH/H-200622-16S-c-22-3_S152_L001_R2_001.fastq.gz	26369
./seq230707_DWDQH/H-200622-16S-c-24-5_S167_L001_R2_001.fastq.gz	24880
./seq230707_DWDQH/A-230622-16S-c-59-1_S124_L001_R2_001.fastq.gz	35772
./seq230707_DWDQH/R-160622-16S-c-7_S7_L001_R1_001.fastq.gz	33040
./seq230707_DWDQH/A-230622-16S-c-72-5_S182_L001_R1_001.fastq.gz	53481
./seq230707_DWDQH/A-230622-16S-c-60-1_S131_L001_R2_001.fastq.gz	38651
./seq230707_DWDQH/A-230622-16S-c-55_S114_L001_R1_001.fastq.gz	29692
./seq230707_DWDQH/A-230622-16S-c-70-1_S164_L001_R2_001.fastq.gz	47351
./seq230707_DWDQH/A-230622-16S-c-51-6_S109_L001_R2_001.fastq.gz	46421
./seq230707_DWDQH/H-200622-16S-c-19-4_S132_L001_R2_001.fastq.gz	19712
./seq230707_DWDQH/R-210622-16S-c-31_S18_L001_R2_001.fastq.gz	32172
./seq230707_DWDQH/A-230622-16S-c-50-5_S101_L001_R2_001.fastq.gz	51518
./seq230707_DWDQH/A-230622-16S-c-63-2_S152_L001_R2_001.fastq.gz	44181
./seq230707_DWDQH/R-210622-16S-c-47_S82_L001_R1_001.fastq.gz	25516
./seq230707_DWDQH/A-230622-16S-c-63-4_S154_L001_R1_001.fastq.gz	42493
./seq230707_DWDQH/H-200622-16S-c-23-2_S158_L001_R2_001.fastq.gz	22572
./seq230707_DWDQH/A-230622-16S-c-63-6_S156_L001_R1_001.fastq.gz	46255
./seq230707_DWDQH/R-140722-16S-c-133_S73_L001_R1_001.fastq.gz	24176
./seq230707_DWDQH/R-140722-16S-c-135_S75_L001_R2_001.fastq.gz	27700
./seq230707_DWDQH/R-P3-16S-c-pos_S97_L001_R2_001.fastq.gz	37541
./seq230707_DWDQH/R-210622-16S-c-33_S20_L001_R2_001.fastq.gz	43446
./seq230707_DWDQH/R-160622-16S-c-12_S12_L001_R2_001.fastq.gz	24333
./seq230707_DWDQH/A-230622-16S-c-53_S112_L001_R2_001.fastq.gz	58377
./seq230707_DWDQH/R-040722-16S-c-118_S58_L001_R1_001.fastq.gz	27893
./seq230707_DWDQH/R-P1-16S-c-pos_S88_L001_R2_001.fastq.gz	17693
./seq230707_DWDQH/A-230622-16S-c-60-5_S135_L001_R1_001.fastq.gz	46445
./seq230707_DWDQH/R-140722-16S-c-126_S66_L001_R2_001.fastq.gz	34124
./seq230707_DWDQH/H-200622-16S-c-22-1_S150_L001_R2_001.fastq.gz	17306
./seq230707_DWDQH/H-200622-16S-c-22-7_S156_L001_R1_001.fastq.gz	18576
./seq230707_DWDQH/A-230622-16S-c-57_S116_L001_R1_001.fastq.gz	40123
./seq230707_DWDQH/R-210622-16S-c-43-7_S72_L001_R1_001.fastq.gz	50107
./seq230707_DWDQH/A-230622-16S-c-59-3_S126_L001_R2_001.fastq.gz	40716
./seq230707_DWDQH/A-230622-16S-c-60-3_S133_L001_R2_001.fastq.gz	55490
