Path	Reads
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/MATRIX_meta_test_4A_shotgun_S44_L001_R1_001.fastq.gz	1005129
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/MATRIX_meta_test_4A_shotgun_S44_L001_R2_001.fastq.gz	1005129
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/MATRIX_meta_test_4E_shotgun_S45_L001_R1_001.fastq.gz	56014
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/MATRIX_meta_test_4E_shotgun_S45_L001_R2_001.fastq.gz	56014
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/MATRIX_meta_test_4G_shotgun_S46_L001_R1_001.fastq.gz	743469
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/MATRIX_meta_test_4G_shotgun_S46_L001_R2_001.fastq.gz	743469
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/R-070722-s-4H_shotgun_S47_L001_R1_001.fastq.gz	574776
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/R-070722-s-4H_shotgun_S47_L001_R2_001.fastq.gz	574776
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/R-140722-s-4I_shotgun_S48_L001_R1_001.fastq.gz	730632
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221122_ISEQ1/R-140722-s-4I_shotgun_S48_L001_R2_001.fastq.gz	730632
/home/jovyan/work/CCRP/MATRIX/RawData/Microbiomics/Metagenomics/sequencing_runs/seq221216_ISEQ4/_1A_16S_P4_crushed_S17_R1_001.fastq.gz	1560
