LY,SP,LY_SP,SP_location,SP_sample_number,SP_block,SP_plot,SP_subplot,SP_spray_fungicide,SP_fertiliser,SP_cultivar,SP_density
LY_T_2023,SP_001,LY_T_2023__SP_001,T,1,1,1,1,FALSE,NORMAL,Heerup,150
LY_T_2023,SP_002,LY_T_2023__SP_002,T,2,1,2,2,FALSE,NORMAL,Heerup,450
LY_T_2023,SP_003,LY_T_2023__SP_003,T,3,1,3,1,FALSE,NORMAL,Heerup,300
LY_T_2023,SP_004,LY_T_2023__SP_004,T,4,1,4,4,FALSE,NORMAL,Sheriff,150
LY_T_2023,SP_005,LY_T_2023__SP_005,T,5,1,5,1,FALSE,NORMAL,Sheriff,300
LY_T_2023,SP_006,LY_T_2023__SP_006,T,6,1,6,6,FALSE,NORMAL,Kvium,150
LY_T_2023,SP_007,LY_T_2023__SP_007,T,7,1,7,7,FALSE,NORMAL,Kvium,450
LY_T_2023,SP_008,LY_T_2023__SP_008,T,8,1,8,8,FALSE,NORMAL,Rembrandt,150
LY_T_2023,SP_009,LY_T_2023__SP_009,T,9,1,9,1,FALSE,NORMAL,Kvium,300
LY_T_2023,SP_010,LY_T_2023__SP_010,T,10,1,10,1,FALSE,NORMAL,Rembrandt,300
LY_T_2023,SP_011,LY_T_2023__SP_011,T,11,1,11,11,FALSE,NORMAL,Rembrandt,450
LY_T_2023,SP_012,LY_T_2023__SP_012,T,12,1,12,12,FALSE,NORMAL,Sheriff,450
LY_T_2023,SP_013,LY_T_2023__SP_013,T,13,1,13,1,FALSE,HALF,Kvium,450
LY_T_2023,SP_014,LY_T_2023__SP_014,T,14,1,14,2,FALSE,HALF,Sheriff,150
LY_T_2023,SP_015,LY_T_2023__SP_015,T,15,1,15,3,FALSE,HALF,Kvium,150
LY_T_2023,SP_016,LY_T_2023__SP_016,T,16,1,16,4,FALSE,HALF,Sheriff,450
LY_T_2023,SP_017,LY_T_2023__SP_017,T,17,1,17,2,FALSE,HALF,Rembrandt,300
LY_T_2023,SP_018,LY_T_2023__SP_018,T,18,1,18,2,FALSE,HALF,Heerup,300
LY_T_2023,SP_019,LY_T_2023__SP_019,T,19,1,19,7,FALSE,HALF,Rembrandt,450
LY_T_2023,SP_020,LY_T_2023__SP_020,T,20,1,20,8,FALSE,HALF,Heerup,150
LY_T_2023,SP_021,LY_T_2023__SP_021,T,21,1,21,9,FALSE,HALF,Rembrandt,150
LY_T_2023,SP_022,LY_T_2023__SP_022,T,22,1,22,2,FALSE,HALF,Kvium,300
LY_T_2023,SP_023,LY_T_2023__SP_023,T,23,1,23,11,FALSE,HALF,Heerup,450
LY_T_2023,SP_024,LY_T_2023__SP_024,T,24,1,24,2,FALSE,HALF,Sheriff,300
LY_T_2023,SP_025,LY_T_2023__SP_025,T,25,1,25,3,FALSE,ZERO,Rembrandt,300
LY_T_2023,SP_026,LY_T_2023__SP_026,T,26,1,26,3,FALSE,ZERO,Sheriff,300
LY_T_2023,SP_027,LY_T_2023__SP_027,T,27,1,27,3,FALSE,ZERO,Rembrandt,150
LY_T_2023,SP_028,LY_T_2023__SP_028,T,28,1,28,3,FALSE,ZERO,Kvium,300
LY_T_2023,SP_029,LY_T_2023__SP_029,T,29,1,29,5,FALSE,ZERO,Sheriff,450
LY_T_2023,SP_030,LY_T_2023__SP_030,T,30,1,30,6,FALSE,ZERO,Kvium,150
LY_T_2023,SP_031,LY_T_2023__SP_031,T,31,1,31,7,FALSE,ZERO,Sheriff,150
