bio_sample_ID,suggested_correct_seq_sample_ID,corrected_forward_fq,amplicon.x,sample_type,TYPE,YEAR,sample_date,density,cultivar,fertiliser,spray_fungicide,block,subplot,ID_on_field,run_ID,S5_index_ID,lib_plate_number,crushed_or_washed_date,lyophilised_date,PCR1_date,PCR2_date,days_between_DNA_x,DNA_ext_date,plate_position,lib_DNA_conc,DNA_conc_plate,DNA_conc_individual,sample_weight,sample,raw_reads,amplicon.y,seq_run,filtered_reads,ASV_reads,location,ddmmyy,amplicon,type,aphid,plot,seq_control_run,lib_control_type,replicate,date,lost_filtering,lost_denoising,lost_total,lost_filtering_pct,lost_denoising_pct,lost_total_pct,pass_filter,purpose,sample_day_of_the_year,library,fertiliser_wrong,ID_on_field.1,lib_date,Days_between_DNA_x,speedvac_DNA_conc_individual,sample_weight_g
1,T-150621-c-26,T-150621-ITS-c-26,T-150621-ITS-c-26_S80_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,300,Rembrandt,Zero,no,1,3,,seq230710_GW4I8,S502,1,,,2023-04-20,2023-04-20,,,4B,2.87408493520987,20.5179455983315,,15,T-150621-ITS-c-26_S80,11777,ITS,seq230710_GW4I8,11777,7638,T,150621,ITS,c,,26,,,,2021-06-15,0,4139,4139,0,35.1447737114715,35.1447737114715,yes,sample,165,seq230710_GW4I8_1,Zero,,,,,
2,T-150621-c-54,T-150621-ITS-c-54,T-150621-ITS-c-54_S108_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,300,Heerup,Half,no,2,5,,seq230710_GW4I8,S506,1,,,2023-04-20,2023-04-20,,,7F,3.12772347375747,55.87,,15,T-150621-ITS-c-54_S108,12024,ITS,seq230710_GW4I8,12024,8017,T,150621,ITS,c,,54,,,,2021-06-15,0,4007,4007,0,33.3250166333999,33.3250166333999,yes,sample,165,seq230710_GW4I8_1,Normal,,,,,
3,T-150621-c-53,T-150621-ITS-c-53,T-150621-ITS-c-53_S107_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,450,Heerup,Half,no,2,5,,seq230710_GW4I8,S505,1,,,2023-04-20,2023-04-20,,,7E,3.28618318224445,32.27,,15,T-150621-ITS-c-53_S107,12061,ITS,seq230710_GW4I8,12061,7831,T,150621,ITS,c,,53,,,,2021-06-15,0,4230,4230,0,35.071718762955,35.071718762955,yes,sample,165,seq230710_GW4I8_1,Normal,,,,,
4,T-150621-c-52,T-150621-ITS-c-52,T-150621-ITS-c-52_S106_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,450,Rembrandt,Half,no,2,5,,seq230710_GW4I8,S504,1,,,2023-04-20,2023-04-20,,,7D,2.22376530631438,55.87,,15,T-150621-ITS-c-52_S106,11146,ITS,seq230710_GW4I8,11146,6886,T,150621,ITS,c,,52,,,,2021-06-15,0,4260,4260,0,38.2199892338058,38.2199892338058,yes,sample,165,seq230710_GW4I8_1,Normal,,,,,
5,T-150621-c-51,T-150621-ITS-c-51,T-150621-ITS-c-51_S105_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,300,Sheriff,Half,no,2,5,,seq230710_GW4I8,S503,1,,,2023-04-20,2023-04-20,,,7C,5.88896198758387,55.87,,15,T-150621-ITS-c-51_S105,10229,ITS,seq230710_GW4I8,10229,2368,T,150621,ITS,c,,51,,,,2021-06-15,0,7861,7861,0,76.8501319777104,76.8501319777104,yes,sample,165,seq230710_GW4I8_1,Normal,,,,,
6,T-150621-c-50,T-150621-ITS-c-50,T-150621-ITS-c-50_S104_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,150,Kvium,Half,no,2,5,,seq230710_GW4I8,S502,1,,,2023-04-20,2023-04-20,,,7B,4.91777068586082,55.87,,15,T-150621-ITS-c-50_S104,11481,ITS,seq230710_GW4I8,11481,7582,T,150621,ITS,c,,50,,,,2021-06-15,0,3899,3899,0,33.9604564062364,33.9604564062364,yes,sample,165,seq230710_GW4I8_1,Normal,,,,,
7,T-150621-c-49,T-150621-ITS-c-49,T-150621-ITS-c-49_S103_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,300,Rembrandt,Half,no,2,5,,seq230710_GW4I8,S501,1,,,2023-04-20,2023-04-20,,,7A,4.96928436626417,55.87,,15,T-150621-ITS-c-49_S103,6567,ITS,seq230710_GW4I8,6567,3655,T,150621,ITS,c,,49,,,,2021-06-15,0,2912,2912,0,44.3429267549871,44.3429267549871,yes,sample,165,seq230710_GW4I8_1,Normal,,,,,
8,T-150621-c-55,T-150621-ITS-c-55,T-150621-ITS-c-55_S109_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,150,Rembrandt,Half,no,2,5,,seq230710_GW4I8,S512,1,,,2023-04-20,2023-04-20,,,7G,2.21206528544468,55.87,,15,T-150621-ITS-c-55_S109,11777,ITS,seq230710_GW4I8,11777,7953,T,150621,ITS,c,,55,,,,2021-06-15,0,3824,3824,0,32.4700687781269,32.4700687781269,yes,sample,165,seq230710_GW4I8_1,Normal,,,,,
9,T-150621-c-48,T-150621-ITS-c-48,T-150621-ITS-c-48_S102_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,150,Sheriff,Zero,no,2,4,,seq230710_GW4I8,S508,1,,,2023-04-20,2023-04-20,,,6H,0.988646165393734,54.0001738072478,,15,T-150621-ITS-c-48_S102,8252,ITS,seq230710_GW4I8,8252,2869,T,150621,ITS,c,,48,,,,2021-06-15,0,5383,5383,0,65.2326708676684,65.2326708676684,yes,sample,165,seq230710_GW4I8_1,Zero,,,,,
10,T-150621-c-46,T-150621-ITS-c-46,T-150621-ITS-c-46_S100_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,150,Heerup,Zero,no,2,4,,seq230710_GW4I8,S506,1,,,2023-04-20,2023-04-20,,,6F,2.644171128,56.263144173112,,15,T-150621-ITS-c-46_S100,9947,ITS,seq230710_GW4I8,9947,6171,T,150621,ITS,c,,46,,,,2021-06-15,0,3776,3776,0,37.9611943299487,37.9611943299487,yes,sample,165,seq230710_GW4I8_1,Zero,,,,,
11,T-150621-c-45,T-150621-ITS-c-45,T-150621-ITS-c-45_S99_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,150,Rembrandt,Zero,no,2,4,,seq230710_GW4I8,S505,1,,,2023-04-20,2023-04-20,,,6E,2.76179832343739,56.263144173112,,15,T-150621-ITS-c-45_S99,9695,ITS,seq230710_GW4I8,9695,5998,T,150621,ITS,c,,45,,,,2021-06-15,0,3697,3697,0,38.1330582774626,38.1330582774626,yes,sample,165,seq230710_GW4I8_1,Zero,,,,,
12,T-150621-c-44,T-150621-ITS-c-44,T-150621-ITS-c-44_S98_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,300,Kvium,Zero,no,2,4,,seq230710_GW4I8,S504,3,,,2023-05-04,2002-05-31,,,10E,0.434569004819737,40.42061354,,15,T-150621-ITS-c-44_S98,10314,ITS,seq230710_GW4I8,10314,6308,T,150621,ITS,c,,44,,,,2021-06-15,0,4006,4006,0,38.84041109172,38.84041109172,yes,sample,165,seq230710_GW4I8_3,Zero,,,,,
13,T-150621-c-43,T-150621-ITS-c-43,T-150621-ITS-c-43_S97_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,450,Sheriff,Zero,no,2,4,,seq230710_GW4I8,S503,1,,,2023-04-20,2023-04-20,,,6C,5.04120870508424,52.3550882071782,,15,T-150621-ITS-c-43_S97,8198,ITS,seq230710_GW4I8,8198,1687,T,150621,ITS,c,,43,,,,2021-06-15,0,6511,6511,0,79.4218101976092,79.4218101976092,yes,sample,165,seq230710_GW4I8_1,Zero,,,,,
14,T-150621-c-42,T-150621-ITS-c-42,T-150621-ITS-c-42_S96_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,450,Rembrandt,Zero,no,2,4,,seq230710_GW4I8,S502,1,,,2023-04-20,2023-04-20,,,6B,2.28719173523961,43.6873207612757,,15,T-150621-ITS-c-42_S96,9574,ITS,seq230710_GW4I8,9574,5967,T,150621,ITS,c,,42,,,,2021-06-15,0,3607,3607,0,37.6749529977021,37.6749529977021,yes,sample,165,seq230710_GW4I8_1,Zero,,,,,
15,T-150621-c-41,T-150621-ITS-c-41,T-150621-ITS-c-41_S95_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,450,Kvium,Zero,no,2,4,,seq230710_GW4I8,S501,1,,,2023-04-20,2023-04-20,,,6A,5.3050581709363,56.263144173112,,15,T-150621-ITS-c-41_S95,6699,ITS,seq230710_GW4I8,6699,4218,T,150621,ITS,c,,41,,,,2021-06-15,0,2481,2481,0,37.0353784146888,37.0353784146888,yes,sample,165,seq230710_GW4I8_1,Zero,,,,,
16,T-150621-c-47,T-150621-ITS-c-47,T-150621-ITS-c-47_S101_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,150,Kvium,Zero,no,2,4,,seq230710_GW4I8,S511,1,,,2023-04-20,2023-04-20,,,6G,1.48734695924855,44.8787694446858,,15,T-150621-ITS-c-47_S101,10383,ITS,seq230710_GW4I8,10383,6624,T,150621,ITS,c,,47,,,,2021-06-15,0,3759,3759,0,36.203409419243,36.203409419243,yes,sample,165,seq230710_GW4I8_1,Zero,,,,,
17,T-150621-c-56,T-150621-ITS-c-56,T-150621-ITS-c-56_S110_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,150,Heerup,Half,no,2,5,,seq230710_GW4I8,S508,1,,,2023-04-20,2023-04-20,,,7H,11.669802346901,55.87,,15,T-150621-ITS-c-56_S110,11956,ITS,seq230710_GW4I8,11956,6023,T,150621,ITS,c,,56,,,,2021-06-15,0,5933,5933,0,49.6236199397792,49.6236199397792,yes,sample,165,seq230710_GW4I8_1,Normal,,,,,
18,T-150621-c-57,T-150621-ITS-c-57,T-150621-ITS-c-57_S111_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,150,Sheriff,Half,no,2,5,,seq230710_GW4I8,S501,1,,,2023-04-20,2023-04-20,,,8A,4.99661427147273,55.87,,15,T-150621-ITS-c-57_S111,9715,ITS,seq230710_GW4I8,9715,6350,T,150621,ITS,c,,57,,,,2021-06-15,0,3365,3365,0,34.6371590324241,34.6371590324241,yes,sample,165,seq230710_GW4I8_1,Normal,,,,,
19,T-150621-c-58,T-150621-ITS-c-58,T-150621-ITS-c-58_S112_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,300,Kvium,Half,no,2,5,,seq230710_GW4I8,S502,1,,,2023-04-20,2023-04-20,,,8B,1.53176225378454,55.87,,15,T-150621-ITS-c-58_S112,11186,ITS,seq230710_GW4I8,11186,6330,T,150621,ITS,c,,58,,,,2021-06-15,0,4856,4856,0,43.4114071160379,43.4114071160379,yes,sample,165,seq230710_GW4I8_1,Normal,,,,,
20,T-150621-c-73,T-150621-ITS-c-73,T-150621-ITS-c-73_S127_L001_R1_001.fastq.gz,ITS,deep,crushed,2021,2021-06-15,300,Rembrandt,Normal,no,3,7,,seq230710_GW4I8,S501,1,,,2023-04-20,2023-04-20,,,10A,4.00217967470135,28.2210828191536,,15,T-150621-ITS-c-73_S127,10757,ITS,seq230710_GW4I8,10757,7623,T,150621,ITS,c,,73,,,,2021-06-15,0,3134,3134,0,29.1345170586595,29.1345170586595,yes,sample,165,seq230710_GW4I8_1,Half,,,,,
